小说名,的,了,不,在,就,着,也,都,还,上,被,中,啊,很,已经,又,把,吧,地,里,却,对,将,没,没有,后,之,一,从,过,得,才,只,最,再,给,吗,向,太,下,呢,更,之后,便,并,用,还是,与,前,比,跟,以,连,所,先,竟然,和,为,里面,真,于,当然,最后,似乎,只是,别,内,等,一边,正,终于,一直,因为,以后,对于,面前,大,为了,之前,刚,一定,居然,根本,已,非常,一样,不过,不要,可,往,顿时,真是,刚刚,再次,之中,毕竟,其实,自然,哦,越,外,除了,多,来说,难道,快,绝对,么,可是,立刻,当,几乎,周围,般,很快,实在,就算,肯定,的话,呀,身后,嘛,上面,正在,间,旁边,有点,以前,忽然,则,由,随着,后面,不断,甚至,原来,一起,本来,慢慢,比较,嗯,而已,之间,微微,必须,像,马上,倒是,到,外面,到底,边,仿佛,果然,前面,更加,不用,极,未,简直,对面,哈哈,至少,赶紧,就要,真的,总,越来越,啦,通过,全,随后,至于,原本,好,好好,朝,按照,恐怕,朝着,呵呵,连忙,狠狠,反正,同样,倒,同时,不禁,早就,或许,就是,经过,立即,四周,之下,等等,不再,重新,挺,一旁,class
高手寂寞2,0.018218,0.005697,0.003402,0.00312,0.00159,0.002677,0.001308,0.001671,0.000845,0.001087,0.001067,0.001268,0.000181,0.000282,2.00E-05,0.001047,0.000584,0.000262,6.00E-05,0.000302,0.000725,0.000463,0.000966,0.000322,0.000322,0.000403,0.001449,0.000302,0.000282,0.000705,0.000302,0.000664,0.000644,0.000282,0.000362,0.000121,0.000201,0.000101,0.000141,0.000181,0.000121,0.000342,0.000201,0.000564,8.10E-05,0.000161,0.000101,0.000322,0.000403,0.000141,0.000242,0.000262,8.10E-05,0.000262,4.00E-05,2.00E-05,0.000164,0.000322,2.00E-05,0.000141,0.000101,4.00E-05,0.000201,2.00E-05,0.000161,6.00E-05,8.10E-05,0.000221,6.00E-05,0.000101,2.00E-05,0.000161,8.10E-05,2.00E-05,0.000101,0.000282,0.000161,4.00E-05,8.10E-05,0.000121,0.000101,5.50E-05,0.000161,0.000161,2.00E-05,4.00E-05,0.000101,2.00E-05,2.00E-05,8.10E-05,6.00E-05,0.000141,2.00E-05,0.000362,0.000121,2.00E-05,0.000121,0.000262,2.70E-05,0.000121,0.000121,4.00E-05,6.00E-05,0.000242,4.00E-05,4.00E-05,2.00E-05,4.00E-05,2.00E-05,0.000164,4.00E-05,2.00E-05,0.000101,0.000382,4.00E-05,8.10E-05,2.00E-05,5.50E-05,0.018218,4.00E-05,0.000403,8.10E-05,4.00E-05,2.00E-05,0.000141,2.00E-05,2.70E-05,0.000262,5.50E-05,0.000101,0.000101,2.00E-05,0.000403,8.10E-05,6.00E-05,2.00E-05,2.00E-05,4.00E-05,8.20E-05,0.000141,2.70E-05,2.00E-05,0.000141,8.10E-05,4.00E-05,8.20E-05,0.001087,4.00E-05,8.20E-05,2.00E-05,2.00E-05,0.000121,4.00E-05,2.00E-05,0.000403,0.000342,0.000161,0.000141,2.00E-05,2.00E-05,2.00E-05,4.00E-05,2.00E-05,4.00E-05,4.00E-05,8.10E-05,8.10E-05,6.00E-05,6.00E-05,2.00E-05,0.000221,0.000101,0.000101,2.00E-05,8.10E-05,8.10E-05,2.00E-05,2.00E-05,2.70E-05,2.00E-05,2.00E-05,2.00E-05,4.00E-05,4.00E-05,2.00E-05,4.00E-05,2.00E-05,6.00E-05,4.00E-05,2.00E-05,8.10E-05,2.00E-05,2.00E-05,8.20E-05,2.00E-05,0.000221,0.000141,2.00E-05,5.50E-05,2.00E-05,succ
高手系统,0.022807,0.00618,0.003909,0.004831,0.003175,0.00227,0.001963,0.001417,0.000939,0.000973,0.001366,0.000802,0.000239,0.000478,1.70E-05,0.000478,0.00099,0.000341,8.50E-05,0.00099,0.000632,0.000632,0.000239,0.000324,0.000324,0.000188,0.001144,0.000376,0.000922,0.000529,0.000358,0.000632,0.000444,0.000597,0.000427,0.000324,0.00029,0.000222,0.000239,0.000307,8.50E-05,0.000358,0.000188,0.000358,0.000427,0.000205,0.000137,0.000154,0.000188,0.000205,0.000102,0.000307,0.000324,0.000137,0.000102,1.70E-05,0.000188,0.000137,0.000102,8.50E-05,0.000273,6.80E-05,0.000102,0.000119,0.000188,0.000102,0.000188,0.000102,3.40E-05,0.000102,8.50E-05,0.000222,8.50E-05,0.000188,0.000205,6.80E-05,0.000119,0.000137,0.000188,8.50E-05,8.50E-05,1.70E-05,1.70E-05,1.70E-05,1.70E-05,8.50E-05,8.50E-05,0.000137,6.80E-05,0.000119,0.000256,1.70E-05,8.50E-05,3.40E-05,1.70E-05,1.70E-05,0.000102,5.10E-05,1.70E-05,8.50E-05,5.10E-05,3.40E-05,6.80E-05,0.000119,8.50E-05,4.00E-05,0.000102,0.000157,3.40E-05,0.000324,6.80E-05,8.50E-05,6.80E-05,6.80E-05,0.000119,0.000119,0.000324,5.10E-05,0.000393,1.70E-05,0.000171,1.70E-05,8.50E-05,6.80E-05,1.70E-05,1.70E-05,1.70E-05,0.000102,5.50E-05,1.70E-05,6.80E-05,3.40E-05,3.40E-05,6.80E-05,1.70E-05,1.70E-05,3.40E-05,1.70E-05,0.000102,1.70E-05,8.50E-05,1.70E-05,1.70E-05,0.000222,8.50E-05,5.20E-05,6.80E-05,3.40E-05,0.000102,1.70E-05,1.70E-05,3.40E-05,5.10E-05,3.40E-05,0.000102,1.70E-05,8.50E-05,6.80E-05,6.80E-05,8.50E-05,6.80E-05,4.00E-05,1.70E-05,1.70E-05,6.80E-05,5.10E-05,3.40E-05,1.70E-05,1.70E-05,0.000188,3.40E-05,3.40E-05,1.70E-05,1.70E-05,8.10E-05,8.10E-05,3.40E-05,3.40E-05,0.000119,1.70E-05,2.00E-05,0.000324,4.00E-05,1.70E-05,1.70E-05,3.40E-05,1.70E-05,0.003909,6.80E-05,1.70E-05,5.10E-05,0.000529,5.20E-05,8.20E-05,8.50E-05,0.000102,8.50E-05,1.70E-05,3.40E-05,5.10E-05,succ
孤星传说,0.021471,0.009252,0.003733,0.003455,0.003014,0.00211,0.002087,0.000997,0.00109,0.000974,0.000927,0.000974,4.60E-05,0.00058,2.30E-05,0.00051,0.000441,0.000394,2.30E-05,0.000232,0.000139,0.000417,0.000812,9.30E-05,9.30E-05,0.000881,0.000371,0.000672,0.000672,0.000348,2.30E-05,0.000325,0.000696,0.000325,0.000325,0.000232,0.000209,0.000696,0.000464,0.000394,0.000301,0.000278,0.000371,0.000372,9.30E-05,0.000209,0.000209,0.000116,0.000185,0.000162,0.000301,0.000255,0.000185,0.000278,0.000232,4.60E-05,0.000278,0.000139,9.30E-05,0.000487,4.60E-05,2.30E-05,0.000162,0.000209,4.60E-05,7.00E-05,0.000116,0.000116,9.30E-05,0.000301,4.60E-05,4.60E-05,2.30E-05,0.000185,2.30E-05,0.000162,2.30E-05,2.30E-05,0.000185,0.000116,9.30E-05,0.000487,2.30E-05,0.000139,4.60E-05,9.30E-05,0.000185,7.00E-05,7.00E-05,0.000139,8.00E-05,0.000464,0.000116,4.60E-05,0.000371,0.000116,2.30E-05,4.60E-05,4.60E-05,7.00E-05,0.000116,2.30E-05,0.000139,2.30E-05,4.60E-05,0.000209,2.30E-05,0.000266,7.00E-05,0.000348,0.000209,0.00018,0.000185,0.000278,0.000209,0.000139,9.30E-05,9.30E-05,0.021471,0.00051,0.000162,2.30E-05,0.000974,7.00E-05,0.000325,7.00E-05,0.000301,4.60E-05,2.30E-05,7.00E-05,0.000185,0.000301,7.00E-05,0.000209,2.30E-05,4.60E-05,7.00E-05,2.30E-05,0.000185,2.30E-05,9.30E-05,2.30E-05,2.30E-05,2.30E-05,9.30E-05,2.30E-05,9.30E-05,4.60E-05,4.60E-05,0.000116,4.60E-05,9.30E-05,0.000185,4.60E-05,9.30E-05,0.000278,7.00E-05,2.70E-05,0.000133,9.30E-05,2.30E-05,0.000278,2.30E-05,2.30E-05,9.30E-05,2.30E-05,8.00E-05,4.60E-05,0.000389,7.00E-05,4.60E-05,0.000881,2.30E-05,2.30E-05,9.30E-05,9.30E-05,2.20E-05,7.00E-05,0.000203,4.60E-05,0.000487,0.000116,2.30E-05,0.000301,8.00E-05,4.60E-05,2.30E-05,7.00E-05,0.003014,0.000113,2.30E-05,2.30E-05,0.000399,7.00E-05,4.60E-05,0.000116,4.60E-05,9.30E-05,3.20E-05,0.000672,succ
光头火法,0.015675,0.011528,0.004644,0.003981,0.004561,0.003193,0.002032,0.001078,0.00112,0.000871,0.000581,0.000539,0.001327,0.000871,0.00029,0.00112,0.000746,0.000912,0.000124,0.000249,0.000166,0.000373,0.000166,0.000581,0.000581,0.000207,0.000332,0.000498,0.000166,0.000415,0.000207,0.00029,0.000207,8.30E-05,0.000332,0.000539,0.000373,0.000622,4.10E-05,0.000788,0.000705,8.30E-05,0.000207,8.30E-05,0.000124,8.30E-05,0.000249,0.000166,0.000207,8.30E-05,0.000124,0.000207,8.30E-05,0.000182,0.000124,4.10E-05,0.00029,2.30E-05,4.10E-05,4.10E-05,8.30E-05,0.000124,8.30E-05,4.60E-05,0.000166,0.000166,0.000207,4.10E-05,0.000207,8.30E-05,8.30E-05,0.000166,8.30E-05,0.000207,4.10E-05,4.10E-05,8.30E-05,4.10E-05,0.000207,4.10E-05,0.000166,3.00E-05,4.10E-05,4.60E-05,3.00E-05,0.000124,0.000415,4.10E-05,4.10E-05,0.000124,0.000249,4.10E-05,4.10E-05,0.000124,4.10E-05,8.30E-05,4.10E-05,4.60E-05,0.000207,2.30E-05,8.30E-05,0.000124,4.10E-05,4.10E-05,0.000207,0.000124,4.10E-05,0.000705,4.10E-05,2.30E-05,1.90E-05,4.10E-05,4.10E-05,1.90E-05,0.000124,0.003981,0.004561,0.000205,0.000124,3.80E-05,4.10E-05,8.30E-05,0.000871,8.30E-05,2.30E-05,4.10E-05,0.000207,0.000166,2.30E-05,3.00E-05,6.80E-05,8.30E-05,0.000207,0.004644,2.30E-05,4.10E-05,4.10E-05,4.10E-05,0.000249,8.30E-05,0.000705,4.60E-05,4.10E-05,0.000207,4.10E-05,4.10E-05,4.10E-05,4.10E-05,4.10E-05,8.30E-05,4.10E-05,0.000182,8.30E-05,4.10E-05,0.000207,8.30E-05,4.10E-05,4.10E-05,8.30E-05,2.30E-05,0.000373,4.10E-05,2.30E-05,4.10E-05,0.000124,4.10E-05,4.10E-05,4.10E-05,0.00029,0.000415,4.10E-05,4.10E-05,8.30E-05,4.10E-05,0.000166,4.10E-05,9.00E-05,9.10E-05,4.60E-05,4.10E-05,2.30E-05,8.30E-05,9.50E-05,8.30E-05,4.10E-05,4.60E-05,2.30E-05,0.004644,0.004561,4.60E-05,8.30E-05,4.10E-05,1.90E-05,0.000273,4.10E-05,4.10E-05,4.10E-05,4.10E-05,0.000166,0.000498,unsucc
海盗旗飘扬,0.028999,0.005166,0.002477,0.004283,0.002074,0.003975,0.005377,0.002209,0.00121,0.002113,0.000826,0.000883,5.80E-05,0.000384,0.002132,0.00025,0.000134,0.000115,0.000403,0.00048,0.001095,0.000883,0.001018,0.000326,0.000326,0.000269,9.60E-05,7.70E-05,7.70E-05,0.000365,0.000269,0.000307,0.000154,0.000557,7.70E-05,0.000173,0.000134,0.000134,0.000134,0.000423,0.000192,0.000346,9.60E-05,0.000346,9.60E-05,0.00048,0.000211,0.000115,0.000154,9.60E-05,0.000144,0.000134,5.80E-05,7.70E-05,9.60E-05,0.000154,0.000154,1.90E-05,0.000269,1.90E-05,0.000134,5.80E-05,7.70E-05,0.00023,0.000154,9.60E-05,0.000173,3.80E-05,7.70E-05,0.000115,5.80E-05,3.80E-05,1.90E-05,5.80E-05,0.000134,0.000154,7.70E-05,1.90E-05,9.60E-05,5.80E-05,1.90E-05,0.000361,3.80E-05,2.40E-05,1.90E-05,7.70E-05,0.000326,0.000115,0.000307,1.90E-05,0.000211,1.90E-05,5.80E-05,7.70E-05,9.60E-05,0.000365,7.70E-05,5.80E-05,9.60E-05,1.90E-05,0.000922,0.000211,0.000173,0.00048,3.80E-05,5.80E-05,0.000115,0.000505,0.000134,9.60E-05,5.80E-05,0.000154,0.000826,0.000346,1.90E-05,0.004283,0.000115,4.80E-05,1.90E-05,7.20E-05,0.000134,7.20E-05,0.000134,0.000115,0.000192,5.80E-05,1.90E-05,0.000134,3.50E-05,3.80E-05,7.70E-05,1.90E-05,5.80E-05,1.90E-05,1.90E-05,2.40E-05,3.80E-05,3.80E-05,5.80E-05,5.80E-05,2.40E-05,2.40E-05,1.90E-05,0.000326,1.90E-05,1.90E-05,0.002113,3.80E-05,0.00012,3.80E-05,1.90E-05,4.80E-05,0.000154,0.000104,9.60E-05,1.90E-05,1.90E-05,0.000173,8.70E-05,5.80E-05,0.000883,1.90E-05,1.90E-05,1.90E-05,5.80E-05,1.90E-05,3.80E-05,1.90E-05,3.80E-05,1.90E-05,7.70E-05,1.90E-05,1.90E-05,3.80E-05,2.40E-05,5.80E-05,8.70E-05,1.90E-05,0.000192,0.000595,4.80E-05,5.80E-05,0.000115,0.000115,3.80E-05,3.80E-05,3.80E-05,0.002477,5.80E-05,0.00023,1.90E-05,1.90E-05,5.20E-05,1.90E-05,9.60E-05,3.80E-05,7.70E-05,1.90E-05,1.90E-05,5.80E-05,succ
和众神一起玩游戏,0.010496,0.009858,0.003786,0.003036,0.002137,0.002399,0.001537,0.001574,0.001481,0.000918,0.000656,0.000337,0.001218,0.000337,1.90E-05,0.000487,0.001518,0.001256,0.001406,0.00105,3.70E-05,0.000225,0.000131,0.000787,7.50E-05,0.000187,0.000431,0.000487,0.000675,0.000525,0.000656,0.00015,0.000131,0.000206,0.000281,0.000731,0.000768,0.000637,0.00015,0.0003,0.00075,0.00015,0.000187,0.000206,9.90E-05,0.000281,0.000206,7.50E-05,0.000206,0.000187,0.000337,0.00015,9.40E-05,9.40E-05,0.00015,1.90E-05,5.60E-05,0.000131,3.70E-05,0.000375,1.90E-05,7.50E-05,3.70E-05,1.90E-05,1.90E-05,0.000412,0.000112,0.00015,5.60E-05,0.000206,1.90E-05,1.90E-05,3.70E-05,0.00015,1.90E-05,0.000206,5.60E-05,3.70E-05,0.000206,9.40E-05,0.000281,7.50E-05,1.90E-05,3.70E-05,1.90E-05,3.70E-05,0.000525,5.60E-05,9.40E-05,0.000169,7.40E-05,0.000169,3.70E-05,1.90E-05,1.90E-05,1.90E-05,1.90E-05,1.90E-05,0.000131,3.70E-05,0.00015,0.009858,0.00015,1.90E-05,0.00015,0.000319,0.000225,9.90E-05,9.40E-05,3.70E-05,7.50E-05,0.000198,4.90E-05,3.70E-05,5.60E-05,1.90E-05,0.002137,3.70E-05,9.40E-05,0.000225,3.70E-05,0.000131,9.40E-05,0.000206,7.50E-05,1.90E-05,1.90E-05,0.00015,0.000131,3.70E-05,9.40E-05,1.90E-05,9.40E-05,0.003786,1.90E-05,1.90E-05,1.90E-05,1.90E-05,3.70E-05,1.90E-05,0.000281,3.70E-05,5.60E-05,7.40E-05,1.90E-05,3.70E-05,5.60E-05,7.50E-05,7.50E-05,3.70E-05,7.50E-05,0.00015,0.000173,1.90E-05,3.70E-05,0.00015,0.000112,1.90E-05,3.70E-05,1.90E-05,0.000225,7.40E-05,1.90E-05,5.60E-05,0.000112,7.50E-05,7.50E-05,1.90E-05,0.000281,3.70E-05,7.50E-05,1.90E-05,1.90E-05,3.70E-05,1.90E-05,1.90E-05,0.000375,1.90E-05,3.70E-05,0.000375,2.50E-05,9.40E-05,1.90E-05,3.70E-05,5.60E-05,7.50E-05,1.90E-05,3.70E-05,3.70E-05,1.90E-05,5.60E-05,1.90E-05,7.50E-05,5.60E-05,0.0003,0.00015,0.000281,1.90E-05,9.40E-05,1.90E-05,succ
黑暗武侠登陆器,0.020286,0.002338,0.004078,0.003455,0.001117,0.00252,0.003013,0.001247,0.000805,0.000597,0.000805,0.001455,0.000338,0.000701,0.00013,0.000649,5.20E-05,0.000156,2.60E-05,7.80E-05,0.003195,0.000442,0.000753,0.000234,0.000234,5.20E-05,0.000519,0.000571,0.000597,0.000571,0.00013,0.000883,0.000857,0.000571,0.000571,0.000208,0.00013,0.00013,0.000208,0.000364,2.60E-05,0.000338,5.20E-05,0.000675,0.000234,0.00026,5.20E-05,5.20E-05,0.000597,0.000208,0.000123,0.000208,0.000182,0.00026,0.000104,7.80E-05,0.000208,0.000234,5.20E-05,0.000312,0.000338,5.20E-05,5.20E-05,0.000909,0.000338,5.20E-05,0.000883,0.000104,0.000286,0.000104,0.000338,2.60E-05,0.000208,5.20E-05,0.000312,0.000234,7.80E-05,0.000234,0.00026,0.000182,7.80E-05,0.000286,2.60E-05,0.00013,2.60E-05,5.20E-05,2.60E-05,0.000104,2.60E-05,0.000148,0.000208,7.80E-05,2.60E-05,0.000156,0.000104,7.80E-05,2.50E-05,7.80E-05,2.60E-05,0.000172,0.000156,0.002338,7.80E-05,2.60E-05,5.20E-05,5.20E-05,0.000364,0.000204,2.60E-05,0.000234,5.20E-05,0.000208,2.60E-05,2.60E-05,2.60E-05,7.80E-05,0.000182,5.20E-05,0.000104,4.90E-05,5.20E-05,2.50E-05,0.000597,7.80E-05,0.000831,5.20E-05,7.80E-05,5.20E-05,4.90E-05,0.000182,4.90E-05,2.60E-05,2.60E-05,0.004078,7.80E-05,2.60E-05,2.60E-05,2.60E-05,0.000104,2.60E-05,4.90E-05,0.000104,0.000208,0.000701,2.60E-05,7.40E-05,0.000597,0.000156,0.000156,0.000156,0.000156,7.40E-05,2.60E-05,0.000182,0.000597,0.000156,2.60E-05,0.000156,0.000104,2.60E-05,0.000442,0.000223,5.20E-05,2.60E-05,5.20E-05,5.20E-05,5.20E-05,2.60E-05,0.000104,2.60E-05,0.00013,2.60E-05,0.000104,5.20E-05,2.60E-05,2.60E-05,7.80E-05,5.20E-05,0.000286,7.80E-05,7.80E-05,0.000182,0.000208,0.000104,5.20E-05,0.000156,7.80E-05,0.004078,2.60E-05,0.00013,2.60E-05,2.60E-05,1.90E-05,5.20E-05,7.80E-05,7.80E-05,5.20E-05,4.90E-05,2.00E-05,0.000571,succ
黑山狱主,0.019733,0.01213,0.004232,0.004773,0.002854,0.003223,0.002362,0.002903,0.001427,0.001427,0.00096,0.000984,0.000271,0.000812,0.000763,0.000837,0.00096,0.000246,0.000246,0.001083,0.00032,0.000221,0.000197,0.000369,0.00032,0.000148,9.80E-05,0.000418,0.000787,0.000566,0.000271,0.000394,0.000344,0.000246,0.000271,0.000541,0.000123,0.000394,0.000295,0.000221,7.40E-05,0.000246,9.80E-05,0.000295,0.000148,4.90E-05,9.80E-05,4.90E-05,0.000123,0.000295,0.000123,0.000123,0.000221,2.50E-05,7.40E-05,2.50E-05,0.000221,2.50E-05,0.000295,0.000148,2.50E-05,7.40E-05,4.90E-05,0.000172,0.000172,2.50E-05,4.90E-05,4.90E-05,7.40E-05,0.000344,2.50E-05,0.000221,2.50E-05,9.80E-05,2.50E-05,2.50E-05,0.000123,2.50E-05,9.80E-05,0.000123,4.90E-05,5.60E-05,4.90E-05,0.00013,2.50E-05,7.40E-05,4.90E-05,4.90E-05,7.40E-05,0.000148,0.000172,7.40E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,2.50E-05,0.000172,2.50E-05,7.40E-05,4.90E-05,0.000148,2.50E-05,2.50E-05,0.000221,0.000204,7.40E-05,0.000172,7.40E-05,7.40E-05,0.000148,2.50E-05,2.50E-05,2.50E-05,2.50E-05,0.000123,9.80E-05,4.90E-05,4.90E-05,2.50E-05,7.40E-05,0.000148,0.000221,7.40E-05,4.90E-05,0.000123,4.90E-05,9.80E-05,4.90E-05,2.50E-05,4.90E-05,0.004232,2.50E-05,3.70E-05,7.40E-05,2.50E-05,4.90E-05,4.90E-05,4.90E-05,2.50E-05,9.80E-05,7.40E-05,2.50E-05,7.40E-05,2.50E-05,7.40E-05,0.000148,2.50E-05,4.90E-05,7.40E-05,0.000271,4.90E-05,2.50E-05,0.000246,4.90E-05,2.50E-05,2.50E-05,7.40E-05,2.50E-05,0.000223,2.50E-05,7.40E-05,7.40E-05,4.90E-05,9.80E-05,7.40E-05,2.50E-05,2.50E-05,4.90E-05,0.000148,2.50E-05,2.50E-05,9.30E-05,2.50E-05,2.50E-05,4.90E-05,2.50E-05,2.50E-05,0.000111,9.80E-05,5.60E-05,7.40E-05,4.90E-05,7.40E-05,2.50E-05,0.004232,4.90E-05,2.50E-05,2.50E-05,0.000566,1.90E-05,2.50E-05,2.50E-05,4.90E-05,0.000123,4.90E-05,2.00E-05,0.000418,succ
红缨记,0.01623,0.010708,0.00389,0.002321,0.002489,0.001485,0.003263,0.002008,0.000941,0.000565,0.00092,0.002071,0.000356,0.00046,2.10E-05,0.000565,0.000293,0.000711,0.000105,8.40E-05,0.001213,0.000502,0.000732,0.00023,0.00023,0.000383,0.000272,0.00046,0.000209,0.000565,0.00046,0.000544,0.000314,0.000251,0.000356,0.000397,0.000188,2.10E-05,0.000209,0.000105,0.000251,0.000293,0.000272,0.000105,0.000335,0.000188,0.000125,0.000161,0.000188,0.000167,0.000125,0.000188,0.000146,0.000125,0.000209,0.000251,0.000293,0.000105,8.40E-05,0.000146,0.000146,0.000251,0.000105,0.000125,0.000167,8.40E-05,6.30E-05,0.000293,0.00046,8.40E-05,0.000146,2.10E-05,2.10E-05,0.000125,2.10E-05,2.10E-05,0.000251,0.000105,0.000146,0.000146,2.10E-05,0.000404,2.10E-05,2.10E-05,2.10E-05,2.10E-05,0.000146,0.000272,0.000125,4.20E-05,4.20E-05,4.20E-05,4.20E-05,4.20E-05,0.000105,4.20E-05,6.30E-05,0.000314,4.20E-05,0.000101,0.000101,2.10E-05,0.000105,2.10E-05,0.000105,2.10E-05,4.20E-05,8.10E-05,0.000105,0.000444,0.000141,4.20E-05,8.40E-05,6.30E-05,2.10E-05,6.30E-05,0.002489,2.10E-05,2.10E-05,6.30E-05,0.000105,0.000105,8.40E-05,6.30E-05,0.000105,2.10E-05,2.10E-05,8.40E-05,2.10E-05,4.20E-05,4.20E-05,0.001485,2.10E-05,2.10E-05,4.20E-05,2.10E-05,6.30E-05,2.10E-05,2.10E-05,2.10E-05,4.20E-05,2.10E-05,0.000105,4.20E-05,0.000125,2.00E-05,0.000167,0.000146,2.10E-05,8.40E-05,2.10E-05,0.000355,6.30E-05,6.30E-05,4.20E-05,0.000105,2.10E-05,0.000105,2.10E-05,2.10E-05,2.10E-05,8.40E-05,0.000125,4.20E-05,0.000105,0.000146,2.10E-05,2.10E-05,2.00E-05,6.30E-05,6.30E-05,2.10E-05,0.000125,6.30E-05,6.30E-05,6.30E-05,0.000293,2.10E-05,0.000121,0.000293,4.20E-05,6.30E-05,2.10E-05,6.30E-05,2.10E-05,0.000146,2.10E-05,0.00389,8.40E-05,4.00E-05,0.000105,4.20E-05,2.10E-05,2.10E-05,0.000105,8.40E-05,2.10E-05,2.10E-05,4.20E-05,2.10E-05,succ
琥珀之剑,0.021282,0.008502,0.00301,0.003167,0.002125,0.002368,0.002026,0.001098,0.001098,0.000927,0.000927,0.000713,0.001426,0.000699,8.60E-05,0.000628,0.000271,0.00087,0.000628,0.00067,0.000414,0.000471,0.000585,0.0003,0.0003,0.000357,0.000599,0.000242,0.000528,0.000442,0.000428,0.000371,0.000357,0.000271,0.000271,0.0003,0.000685,0.000485,0.000314,0.000342,0.000613,0.000456,0.000171,5.70E-05,0.0001,0.000428,0.0002,0.000257,0.000128,0.000171,0.000128,0.000157,0.000114,0.000143,0.000128,1.40E-05,0.000143,0.000171,0.000257,2.90E-05,0.000257,5.70E-05,0.000185,1.40E-05,7.10E-05,7.10E-05,2.90E-05,0.000143,0.0001,0.000128,0.000185,1.40E-05,0.000114,2.90E-05,4.30E-05,0.0001,5.70E-05,0.000171,0.000128,0.0001,0.000143,2.90E-05,2.90E-05,8.60E-05,4.30E-05,0.000171,0.000185,8.60E-05,0.000114,4.30E-05,7.10E-05,2.90E-05,8.60E-05,0.000128,0.000114,1.40E-05,0.0001,1.40E-05,0.000342,1.40E-05,8.60E-05,1.40E-05,5.70E-05,2.90E-05,0.0001,0.0001,2.90E-05,5.70E-05,5.70E-05,2.90E-05,5.70E-05,1.40E-05,0.000157,0.000143,0.0001,1.40E-05,5.70E-05,8.60E-05,4.30E-05,4.30E-05,0.0001,0.000128,8.60E-05,2.90E-05,5.70E-05,7.10E-05,7.10E-05,4.30E-05,0.0001,2.90E-05,5.70E-05,2.90E-05,0.000157,0.000171,1.40E-05,0.0001,1.40E-05,2.90E-05,1.40E-05,1.40E-05,4.30E-05,7.10E-05,5.70E-05,2.90E-05,5.70E-05,5.70E-05,7.10E-05,4.30E-05,1.40E-05,8.60E-05,1.40E-05,0.0001,0.000171,7.10E-05,2.90E-05,1.40E-05,0.000428,1.40E-05,5.70E-05,1.40E-05,1.40E-05,7.10E-05,1.40E-05,1.40E-05,2.90E-05,2.90E-05,0.0001,1.40E-05,0.000285,0.000114,5.70E-05,1.40E-05,1.40E-05,2.90E-05,5.70E-05,2.90E-05,2.90E-05,1.40E-05,4.30E-05,1.40E-05,2.90E-05,4.30E-05,4.30E-05,0.0001,2.90E-05,4.30E-05,2.90E-05,4.30E-05,4.30E-05,5.70E-05,2.90E-05,8.60E-05,1.40E-05,8.60E-05,8.60E-05,1.40E-05,1.40E-05,1.40E-05,4.30E-05,5.70E-05,succ
