r,v,nh,n,u,nt,p,e,nd,m,d,i,wp,a,句子数,停顿数,句子破碎Success,
2.30134357,6.439539347,0.333973129,5.401151631,3.368522073,0.305182342,5.408829175,0.021113244,0.614203455,1.289827255,3.610364683,0.209213052,4.570057582,1.274472169,521,2160,4.145873321,succ
1.755037116,5.510074231,0.269353128,4.981972428,2.697773065,0.139978791,4.16542948,0.025450689,0.471898197,0.680805938,2.451749735,0.264050901,3.363732768,1.033934252,1886,5230,2.773064687,unsucc
0.915171289,2.924959217,0.535073409,2.363784666,1.114192496,0.151712887,2.215334421,0.013050571,0.140293638,0.425774878,1.125611746,0.055464927,1.973898858,0.406199021,1226,2082,1.698205546,unsucc
1.386252046,5.309328969,0.217675941,4.466448445,2.140752864,0.14893617,5.391162029,0.04091653,0.366612111,0.684124386,2.68903437,0.299509002,4.896890344,0.981996727,611,2500,4.091653028,succ
1.979562044,6.381021898,0.389781022,5.080291971,2.589781022,0.153284672,5.23649635,0.032116788,0.475912409,0.976642336,3.175182482,0.183941606,4.448175182,1.160583942,1370,5066,3.697810219,unsucc
1.823798627,7.04576659,0.546910755,6.228832952,2.229977117,0.212814645,5.943935927,0.010297483,0.447368421,1.184210526,3.223112128,0.28604119,5.138443936,1.250572082,874,3847,4.401601831,succ
2.671122995,8.810160428,0.07486631,7.871657754,4.168449198,0.355614973,7.304812834,0.053475936,0.729946524,1.572192513,4.245989305,0.393048128,6.042780749,1.786096257,374,1761,4.70855615,succ
1.544018059,4.079006772,0.72234763,3.688487585,1.988713318,0.088036117,4.37020316,0.079006772,0.309255079,0.532731377,1.83972912,0.119638826,3.891647856,0.85778781,886,2548,2.875846501,unsucc
1.417743325,3.484926787,0.484065461,3.291989664,1.430663221,0.106804479,4.242894057,0.037898363,0.254091301,0.347975883,1.401378122,0.198966408,3.783807063,0.440999139,1161,3110,2.678725237,succ
1.782305006,4.963911525,0.54016298,3.925494761,2.343422584,0.111757858,4.249126892,0.033760186,0.311990687,0.628637951,2.694994179,0.183934808,3.74854482,0.852153667,1718,4968,2.891734575,unsucc
1.58111824,3.760769936,0.410632447,3.104491292,1.668194317,0.102658112,3.196150321,0.028414299,0.285976169,0.400549954,1.925756187,0.112740605,2.67644363,0.698441797,2182,4644,2.12832264,unsucc
0.955555556,3.780952381,0.341269841,3.615873016,2.088888889,0.142857143,3.83015873,0.015873016,0.312698413,0.671428571,1.634920635,0.146031746,3.355555556,0.820634921,1260,3438,2.728571429,unsucc
1.61784897,5.060640732,0.081235698,3.923340961,2.374141876,0.118993135,4.132723112,0.011441648,0.343249428,0.90617849,2.250572082,0.155606407,3.622425629,1.004576659,1748,4882,2.792906178,unsucc
2.070110701,5.800738007,0.837638376,4.918819188,3.437269373,0.282287823,5.535055351,0.075645756,0.415129151,0.712177122,2.219557196,0.15498155,4.662361624,0.900369004,1084,3498,3.226937269,unsucc
1.613297151,5.145183175,0.115332429,4.803256445,2.641791045,0.157394844,5.104477612,0.016282225,0.473541384,1.05834464,2.514246947,0.196743555,4.253731343,1.122116689,737,2384,3.234735414,succ
1.778331258,9.501867995,0.163138232,11.91407223,2.747198007,0.141967621,15.86052304,0.02117061,0.815691158,1.97633873,3.183063512,0.264009963,14.5890411,1.674968867,803,5744,7.153175592,succ
1.443670151,4.408826945,0.399535424,4.056910569,2.333333333,0.101045296,4.735191638,0.040650407,0.355400697,0.707317073,2.262485482,0.154471545,4.222996516,0.903600465,861,2661,3.090592334,succ
1.627705628,6.902597403,0.313852814,6.835497835,3.147186147,0.246753247,6.041125541,0.012987013,0.716450216,0.937229437,3.056277056,0.33982684,5.188311688,1.285714286,924,4260,4.61038961,unsucc
1.076074972,3.364939361,0.52370452,3.276736494,1.50275634,0.148842337,3.685777288,0.017640573,0.22491731,0.56890849,1.381477398,0.090407938,3.309812569,0.466372657,1814,4076,2.246968026,unsucc
1.266129032,4.698387097,0.314516129,4.367741935,2.287096774,0.125806452,4.241935484,0.017741935,0.625806452,0.759677419,2.388709677,0.164516129,3.575806452,0.851612903,620,1805,2.911290323,succ
1.104664391,5.118316268,0.682593857,5.60523322,1.995449374,0.188850967,4.918088737,0.01592719,0.448236633,1.032992036,2.129692833,0.225255973,4.229806598,0.962457338,1758,5884,3.34698521,unsucc
0.640449438,3.820224719,0.123595506,3.865168539,1.370786517,0.168539326,4.595505618,0.08988764,0.235955056,0.842696629,1.471910112,0.303370787,4.235955056,0.831460674,89,298,3.348314607,succ
1.989489489,6.597597598,0.66966967,7.498498498,3.441441441,0.25975976,6.018018018,0.021021021,0.693693694,1.147147147,2.944444444,0.271771772,4.932432432,1.354354354,666,2670,4.009009009,succ
1.527929901,4.43263965,0.385542169,3.973713034,1.937568456,0.082146769,3.756845564,0.016429354,0.34611172,0.777656079,2.192771084,0.139101862,3.267250821,0.704271632,1826,4566,2.500547645,unsucc
1.463157895,3.597368421,0.235526316,3.818421053,1.792105263,0.148684211,4.951315789,0.023684211,0.309210526,0.527631579,1.542105263,0.192105263,4.477631579,0.721052632,1520,4322,2.843421053,unsucc
1.284418796,3.854080791,0.391591096,3.018961253,1.748557296,0.131904369,3.432811212,0.02143446,0.231657049,0.743610882,1.627370157,0.13932399,2.993404782,0.664468261,2426,6040,2.489694971,unsucc
1.216216216,5.189189189,0.12027027,4.572972973,2.535135135,0.267567568,4.333783784,0.005405405,0.391891892,0.82972973,2.644594595,0.248648649,3.643243243,0.77972973,1480,4398,2.971621622,unsucc
1.09127789,2.870182556,0.471602434,2.509127789,1.372210953,0.157200811,2.836713996,0.038539554,0.24137931,0.430020284,1.536511156,0.0831643,2.413793103,0.503042596,1972,3190,1.617647059,unsucc
1.775609756,6.416260163,0.508943089,6.165853659,3.120325203,0.2,5.46504065,0.02601626,0.557723577,0.993495935,3.230894309,0.230894309,4.544715447,1.125203252,615,2130,3.463414634,succ
1.85625,5.815625,0.190625,4.9109375,2.4703125,0.15625,4.9328125,0.0140625,0.4234375,1.0546875,2.9296875,0.1765625,4.275,1.1640625,640,2187,3.4171875,succ
2.27027027,6.933471933,0.27027027,6.299376299,3.677754678,0.222453222,5.781704782,0.027027027,0.627858628,1.03950104,3.274428274,0.303534304,4.854469854,1.212058212,481,2032,4.224532225,succ
1.55106383,4.212765957,0.285106383,3.406382979,1.861702128,0.206382979,4.119148936,0.065957447,0.361702128,0.472340426,1.768085106,0.131914894,3.59787234,0.70212766,940,2378,2.529787234,unsucc
0.984583762,4.181911614,0.345323741,3.907502569,2.161356629,0.118191161,3.81397739,0.025693731,0.335046249,0.500513875,2.033915725,0.139773895,3.265159301,0.734840699,1946,4776,2.454265159,unsucc
1.095135135,4.702702703,0.264864865,4.052972973,1.553513514,0.158918919,3.975135135,0.002162162,0.300540541,0.818378378,2.140540541,0.11027027,3.525405405,0.92,1850,5522,2.984864865,unsucc
0.92139738,4.628820961,0.481804949,5.592430859,2.243085881,0.109170306,4.707423581,0.018922853,0.508005822,0.711790393,2.232896652,0.120815138,3.954876274,0.836972344,687,1921,2.796215429,succ
0.896149358,3.418903151,0.507584597,3.381563594,1.42823804,0.108518086,3.044340723,0.011668611,0.304550758,0.515752625,1.676779463,0.128354726,2.563593932,0.620770128,857,1871,2.1831972,succ
1.449748744,5.434673367,0.423366834,5.266331658,2.693467337,0.190954774,4.712311558,0.003768844,0.481155779,0.832914573,2.64321608,0.213567839,3.880653266,1.06281407,796,2682,3.369346734,succ
2.093690249,5.829827916,0.470363289,5.210325048,2.185468451,0.223709369,5.378585086,0.011472275,0.422562141,1.152963671,2.759082218,0.216061185,4.7208413,0.994263862,523,1951,3.73040153,succ
11.18918919,26.17567568,1.135135135,23.35135135,16.7972973,0.783783784,37.22972973,0.27027027,1.837837838,2.972972973,12.94594595,1.527027027,34.14864865,5.189189189,148,368,2.486486486,unsucc
1.434188034,5.692307692,0.370940171,6.458119658,2.439316239,0.276923077,5.758974359,0.005128205,0.574358974,1.153846154,3.254700855,0.312820513,4.991452991,1.499145299,1170,4916,4.201709402,unsucc
2.037109375,7.1484375,1.0703125,7.029296875,3.69140625,0.240234375,5.6796875,0.013671875,0.78125,0.94140625,3.267578125,0.203125,4.685546875,0.95703125,512,2121,4.142578125,succ
1.503508772,6.849122807,0.601754386,7.8,2.521052632,0.189473684,4.940350877,0.005263158,0.719298246,1.168421053,2.735087719,0.178947368,4.101754386,1.192982456,570,1921,3.370175439,succ
0.91237579,3.563685637,0.393857272,3.915085818,1.89701897,0.100271003,2.93134598,0.013550136,0.347786811,0.483288166,1.663053297,0.145438121,2.394760614,0.706413731,1107,2131,1.925022584,succ
1.364238411,4.274172185,0.198675497,3.594701987,1.535099338,0.131125828,4.357615894,0.017218543,0.202649007,0.625165563,1.699337748,0.233112583,3.867549669,0.977483444,1510,4578,3.031788079,unsucc
2.054545455,7.262626263,0.672727273,7.103030303,3.092929293,0.226262626,6.438383838,0.022222222,0.519191919,1.038383838,3.484848485,0.171717172,5.62020202,1.381818182,495,2356,4.75959596,succ
1.193647541,4.101434426,0.418032787,3.508196721,1.755122951,0.195696721,3.535860656,0.014344262,0.297131148,0.634221311,2.075819672,0.142418033,3.112704918,0.762295082,976,2374,2.432377049,succ
1.302439024,4.996747967,0.687804878,4.957723577,1.82601626,0.167479675,4.822764228,0.019512195,0.346341463,0.606504065,2.37398374,0.261788618,4.180487805,0.975609756,615,1943,3.159349593,succ
1.445322793,4.143610013,0.335968379,3.641633729,1.637681159,0.127799736,3.637681159,0.015810277,0.28458498,0.599472991,1.662714097,0.137022398,3.192358366,0.711462451,1518,3640,2.397891963,unsucc
0.624203822,2.837225761,0.656050955,2.939136589,1.135881104,0.134465676,3.120311394,0.002123142,0.174805379,0.503892427,1.106157113,0.076433121,2.839348903,0.465675867,2826,6158,2.179051663,unsucc
1.20498615,4.423822715,0.497229917,4.984764543,1.436288089,0.135734072,4.645429363,0.015235457,0.423822715,0.95567867,2.278393352,0.225761773,4.034626039,0.921052632,722,2321,3.21468144,succ
2.502222222,6.837777778,1.388888889,7.271111111,3.455555556,0.16,7.568888889,0.011111111,0.544444444,1.606666667,2.971111111,0.328888889,6.733333333,0.995555556,450,2506,5.568888889,succ
1.098859316,4.577946768,0.456273764,5.209125475,1.745247148,0.155893536,5.262357414,0.053231939,0.319391635,1.034220532,2.102661597,0.262357414,4.741444867,0.942965779,263,881,3.349809886,succ
1.83677686,5.762396694,0.756198347,6.26446281,2.69214876,0.16322314,6.074380165,0.047520661,0.493801653,1.347107438,2.652892562,0.258264463,5.324380165,0.969008264,484,1975,4.080578512,succ
1.403041825,4.340937896,0.603295311,4.261089987,2.223067174,0.188846641,4.410646388,0.01774398,0.346007605,0.733840304,2.533586819,0.214195184,3.896070976,0.865652725,789,2562,3.247148289,succ
1.325217391,5.829565217,0.368695652,6.046956522,2.546086957,0.16173913,4.596521739,0.015652174,0.606956522,1.107826087,2.657391304,0.28,3.793043478,1.07826087,575,1906,3.314782609,succ
2.25,4.923507463,0.554104478,4.313432836,2.757462687,0.184701493,4.567164179,0.013059701,0.44869403,0.594216418,2.494402985,0.137126866,3.88619403,0.822761194,2144,6336,2.955223881,unsucc
1.238461538,4.396923077,0.473846154,5.015384615,1.876923077,0.150769231,4.901538462,0.010769231,0.38,0.675384615,1.896923077,0.241538462,4.493846154,0.996923077,1300,4036,3.104615385,unsucc
3.049327354,11.24215247,0.744394619,13.21076233,4.66367713,0.210762332,10.75784753,0.00896861,1.367713004,3.170403587,5.210762332,0.098654709,8.573991031,2.044843049,223,1526,6.843049327,succ
1.125736739,5.447937132,0.512770138,5.666011788,2.42632613,0.170923379,4.526522593,0.00589391,0.495088409,0.984282908,2.335952849,0.227897839,3.864440079,1.084479371,509,1692,3.324165029,succ
1.205912334,4.534148828,0.590214067,4.625891947,2.484199796,0.199796126,4.621814475,0.043832824,0.393476045,1.029561672,2.500509684,0.163098879,4.084607543,0.887869521,981,3117,3.177370031,succ
1.059121622,4.386824324,0.83277027,4.726351351,1.623310811,0.125,4.119932432,0.016891892,0.336148649,0.827702703,1.760135135,0.197635135,3.677364865,0.712837838,1184,3364,2.841216216,unsucc
2.486187845,7.312154696,0.94198895,6.870165746,2.917127072,0.23480663,5.925414365,0.013812155,0.477900552,1.05801105,3.845303867,0.303867403,5.091160221,1.524861878,362,1557,4.301104972,succ
1.511664075,5.395023328,0.273716952,5.216174184,2.183514774,0.181959565,4.590979782,0.027993779,0.426127527,0.911353033,2.6718507,0.180404355,3.965785381,1.01399689,643,1941,3.018662519,succ
1.328618968,4.166389351,0.183860233,3.435108153,1.9359401,0.114808652,3.231281198,0.009151414,0.289517471,0.764559068,1.839434276,0.109816972,2.752911814,0.685524126,1202,2705,2.250415973,succ
1.439678284,5.927613941,0.450402145,7.150134048,2.898123324,0.273458445,5.069705094,0.018766756,0.761394102,1.278820375,2.957104558,0.243967828,4.048257373,1.061662198,373,1286,3.44772118,succ
1.046906188,3.612774451,0.305389222,4.126746507,1.338323353,0.129740519,4.296407186,0.013972056,0.289421158,0.869261477,1.493013972,0.160678643,3.865269461,0.794411178,1002,3041,3.03493014,succ
1.488653555,4.032526475,0.363842663,3.919818457,1.833585477,0.117246596,3.821482602,0.026475038,0.329046899,0.663388805,2.074130106,0.137670197,3.291981846,0.807110439,1322,3498,2.645990923,succ
1.871266735,7.081359423,0.053553038,6.7507724,3.605561277,0.293511843,6.303810505,0.05561277,0.567456231,1.436663234,3.231719876,0.250257467,5.361483007,1.624098867,971,3834,3.948506694,succ
1.551643192,5.115023474,0.537558685,4.552816901,2.33685446,0.111502347,4.077464789,0.048122066,0.307511737,0.920187793,2.235915493,0.181924883,3.424882629,0.845070423,1704,5070,2.975352113,unsucc
2.401869159,7.942757009,0.66588785,8.240654206,2.79088785,0.313084112,7.469626168,0.014018692,0.661214953,1.46728972,4.224299065,0.372663551,6.545560748,1.325934579,856,4194,4.89953271,succ
2.040241449,7.263581489,0.309859155,6.386317907,2.788732394,0.269617706,6.384305835,0.026156942,0.517102616,1.128772636,3.122736419,0.215291751,5.579476861,1.006036217,994,4644,4.672032193,unsucc
2.019851117,7.253101737,0.406947891,7.59057072,3.702233251,0.210918114,6.101736973,0.009925558,0.786600496,1.434243176,3.838709677,0.265508685,4.903225806,1.476426799,403,1636,4.05955335,succ
1.954372624,5.975285171,1.060836502,5.788973384,2.395437262,0.22243346,5.794676806,0.013307985,0.452471483,0.912547529,2.779467681,0.224334601,5.133079848,1.02661597,1052,4362,4.146387833,unsucc
1.544491525,5.63559322,0.520127119,5.024364407,2.627118644,0.141949153,4.944915254,0.015889831,0.582627119,0.716101695,2.641949153,0.157838983,4.162076271,0.842161017,1888,7290,3.861228814,unsucc
1.226386807,3.743628186,0.562218891,4.013493253,1.788605697,0.142428786,4.157421289,0.004497751,0.271364318,0.754122939,1.875562219,0.28185907,3.665667166,0.755622189,1334,3904,2.926536732,unsucc
1.524405507,3.888610763,0.633291615,3.249061327,1.39048811,0.147684606,3.816020025,0.021276596,0.17146433,0.474342929,1.818523154,0.128911139,3.394242804,0.670838548,1598,4408,2.75844806,unsucc
1.142253521,4.556338028,0.092957746,4.595774648,1.336619718,0.161971831,3.891549296,0.005633803,0.5,0.957746479,2.046478873,0.157746479,3.171830986,0.702816901,1420,3746,2.638028169,unsucc
1.590909091,4.22960373,0.142191142,3.853146853,1.881118881,0.118881119,4.371794872,0.012820513,0.334498834,0.622377622,1.948717949,0.127039627,3.793706294,1.06993007,1716,4886,2.847319347,unsucc
1.126644737,3.351973684,0.287828947,3.287828947,1.828947368,0.365131579,4.131578947,0.09375,0.268092105,0.340460526,1.370065789,0.100328947,3.838815789,0.644736842,1216,2962,2.435855263,unsucc
1.95398773,5.831288344,0.128834356,5.06595092,1.981595092,0.335889571,5.509202454,0.027607362,0.352760736,0.710122699,2.366564417,0.226993865,4.754601227,0.855828221,1304,4816,3.693251534,unsucc
1.364249578,5.52613828,0.271500843,5.170320405,2.465430017,0.271500843,5.281618887,0.015177066,0.463743676,0.892074199,2.726812816,0.177065767,4.467116358,1.037099494,1186,4332,3.652613828,unsucc
0.926605505,5.697247706,0.229357798,6.133027523,3.252293578,0.19266055,4.701834862,0,0.541284404,0.990825688,2.321100917,0.266055046,4.013761468,1.334862385,436,1260,2.889908257,unsucc
1.84952381,4.977142857,0.386666667,4.63047619,2.371428571,0.118095238,4.820952381,0.032380952,0.354285714,0.767619048,2.36952381,0.186666667,4.165714286,0.851428571,1050,3258,3.102857143,unsucc
1.656934307,5.375912409,0.359489051,5.290145985,2.883211679,0.27189781,4.520072993,0.009124088,0.611313869,0.877737226,2.967153285,0.198905109,3.71350365,0.954379562,1096,3600,3.284671533,unsucc
1.421333333,3.738666667,0.232,3.68,2.093333333,0.173333333,3.672,0.026666667,0.306666667,0.794666667,2.098666667,0.2,3.178666667,0.701333333,750,1808,2.410666667,unsucc
1.813084112,6.171962617,0.463551402,4.906542056,2.801869159,0.201869159,5.328971963,0.011214953,0.327102804,1.054205607,2.299065421,0.143925234,4.642990654,0.813084112,1070,4060,3.794392523,unsucc
1.666666667,5.578483245,0.23633157,5.645502646,2.417989418,0.137566138,5.243386243,0.021164021,0.601410935,1.029982363,2.335097002,0.167548501,4.51675485,0.952380952,1134,4038,3.560846561,unsucc
1.88184438,5.472622478,0.54610951,5.291066282,3.021613833,0.131123919,5.536023055,0.024495677,0.4870317,0.877521614,2.536023055,0.15129683,4.825648415,0.976945245,1388,5120,3.688760807,unsucc
1.259097525,4.599708879,0.358078603,3.809315866,2.208151383,0.097525473,4.298398836,0.023289665,0.311499272,0.92139738,2.098981077,0.165938865,3.611353712,0.815138282,1374,4184,3.045123726,unsucc
1.636645963,4.933229814,0.48447205,4.298136646,2.164596273,0.215838509,4.333850932,0.020186335,0.254658385,0.658385093,2.425465839,0.267080745,3.777950311,0.906832298,1288,4288,3.329192547,unsucc
1.61487965,3.829321663,0.401531729,3.359956236,1.501094092,0.115973742,4.539387309,0.027352298,0.205689278,0.47702407,1.84463895,0.165207877,4.166301969,0.695842451,1828,5280,2.888402626,unsucc
1.156808803,4.558459422,0.342503439,4.385144429,1.877579092,0.173314993,4.341127923,0.019257221,0.280605227,0.83218707,2.037138927,0.232462173,3.851444292,0.895460798,1454,4414,3.035763411,unsucc
1.233830846,6.535655058,0.44278607,6.273631841,2.693200663,0.160862355,5.457711443,0.011608624,0.444444444,2.026533997,2.805970149,0.145936982,4.83747927,1.388059701,1206,5214,4.323383085,unsucc
1.567783094,4.49122807,0.119617225,3.61722488,2.650717703,0.170653907,4.459330144,0.102073365,0.293460925,0.669856459,2.306220096,0.159489633,3.905901116,0.87400319,1254,3278,2.614035088,unsucc
3.313370474,9.030640669,0.807799443,8.590529248,4.69637883,0.5,7.175487465,0.027855153,1.01810585,1.608635097,5.10724234,0.268802228,5.508356546,1.317548747,1436,6832,4.757660167,unsucc
1.820402299,5.494252874,0.290229885,4.459770115,2.216954023,0.16091954,4.435344828,0.033045977,0.420977011,0.793103448,2.370689655,0.16091954,3.818965517,0.752873563,1392,3810,2.737068966,unsucc
2.142528736,6.862068966,0.926436782,6.418390805,2.951724138,0.271264368,5.266666667,0.032183908,0.524137931,1.174712644,3.096551724,0.186206897,4.517241379,0.942528736,870,3018,3.468965517,unsucc
1.369436202,4.636498516,0.283382789,4.21810089,1.838278932,0.096439169,4.473293769,0.028189911,0.402077151,0.919881306,1.836795252,0.261127596,3.789317507,0.820474777,1348,4270,3.167655786,unsucc
2.150205761,5.345679012,0.652263374,5.598765432,2.576131687,0.255144033,5.691358025,0.051440329,0.417695473,0.812757202,3.172839506,0.156378601,4.901234568,0.977366255,972,3696,3.802469136,unsucc
2.64691358,7.441975309,0.474074074,5.938271605,3.654320988,0.172839506,6.24691358,0.032098765,0.454320988,1.355555556,4.024691358,0.308641975,5.343209877,1.079012346,810,3084,3.807407407,unsucc
2.078787879,5.483333333,0.193939394,4.483333333,3.01969697,0.262121212,5.427272727,0.051515152,0.413636364,0.833333333,2.577272727,0.145454545,4.687878788,0.981818182,1320,4352,3.296969697,unsucc
1.530183727,5.858267717,0.160104987,6.099737533,2.391076115,0.25984252,5.559055118,0.107611549,0.467191601,1.073490814,2.349081365,0.141732283,4.887139108,0.93175853,762,2876,3.774278215,unsucc
2.43639576,7.185512367,0.80565371,5.895759717,3.091872792,0.185512367,6.339222615,0.017667845,0.457597173,0.90459364,3.56360424,0.240282686,5.659010601,1.234982332,566,2715,4.796819788,succ
1.623404255,4.260638298,0.353191489,3.744680851,1.945744681,0.194680851,4.485106383,0.010638298,0.211702128,0.759574468,2.213829787,0.143617021,3.740425532,0.837234043,940,2913,3.09893617,succ
0.803643725,3.305668016,0.380566802,3.478744939,1.403846154,0.084008097,3.013157895,0.016194332,0.281376518,0.741902834,1.566801619,0.139676113,2.645748988,0.550607287,988,2095,2.120445344,succ
1.596694215,6.242975207,0.401652893,5.709090909,3.325619835,0.284297521,4.804958678,0.06446281,0.601652893,1.097520661,3.323966942,0.317355372,3.869421488,1.085950413,605,2060,3.404958678,succ
1.304152637,3.79349046,0.095398429,3.683501684,1.268237935,0.1335578,4.164983165,0.013468013,0.315375982,0.480359147,1.778900112,0.237934905,3.657687991,0.502805836,1782,5040,2.828282828,unsucc
