r,v,nh,n,u,nt,p,e,nd,m,d,i,wp,a,句子数,停顿数,句子破碎度,Success
1.540983607,5.145199063,0.503512881,4.487119438,1.93676815,0.117096019,4.216627635,0.017564403,0.365339578,0.62529274,2.1264637,0.141686183,3.620608899,0.834894614,854,2353,2.755269321,succ
1.457657658,5.63963964,0.56036036,6.245045045,2.272072072,0.185585586,5.118918919,0.007207207,0.533333333,1.113513514,2.571171171,0.293693694,4.398198198,1.010810811,555,2082,3.751351351,succ
2.099065421,7.312149533,0.674766355,7.439252336,2.990654206,0.21682243,5.98317757,0.011214953,0.693457944,0.94953271,3.314018692,0.293457944,4.865420561,1.489719626,535,2208,4.127102804,succ
1.549828179,4.936426117,0.673539519,6.005154639,2.731958763,0.281786942,4.745704467,0.024054983,0.718213058,0.857388316,3.079037801,0.158075601,4.042955326,1.183848797,582,1999,3.434707904,succ
1.574948665,6.117043121,0.455852156,5.90349076,2.661190965,0.219712526,6.143737166,0.057494867,0.379876797,0.887063655,2.663244353,0.229979466,5.480492813,1.168377823,974,4224,4.336755647,unsucc
1.075075075,3.57957958,0.366366366,3.872372372,1.896396396,0.144144144,4.220720721,0.012012012,0.33033033,0.81981982,1.875375375,0.130630631,3.701201201,0.705705706,1332,3850,2.89039039,unsucc
1.465051258,4.24137931,0.60111836,4.861136999,2.248835042,0.133271202,4.541472507,0.017707363,0.323392358,0.75862069,1.841565704,0.163094129,3.87138863,0.718546132,2146,6158,2.869524697,unsucc
1.081184336,3.47277937,0.709646609,3.198662846,1.854823305,0.106017192,4.277936963,0.039159503,0.275071633,0.539637058,1.654250239,0.144221585,3.701050621,0.70296084,2094,4918,2.348615091,unsucc
1.250388802,3.646967341,0.513219285,2.84525661,1.594090202,0.098755832,3.798600311,0.039657854,0.336702955,0.461897356,1.747278383,0.108087092,3.394245723,0.561430793,2572,6570,2.554432348,unsucc
1.295208655,4.400309119,0.214837713,3.806800618,1.922720247,0.102009274,5.479134467,0.035548686,0.241112828,0.455950541,2.091190108,0.197836167,5.001545595,0.965996909,647,1981,3.061823802,succ
