0.05689,0.048484,0.04278,0.033173,0.032273,0.022966,0.029421,0.031522,0.025668,0.020414,0.01366,0.01381,0.019514,0.01486,0.01366,0.008706,0.018313,0.016061,unsucc
0.067714,0.05496,0.048255,0.029255,0.030964,0.032082,0.022747,0.026428,0.02301,0.023667,0.014726,0.014726,0.018211,0.011045,0.014858,0.007758,0.016501,0.013872,unsucc
0.057176,0.05501,0.052304,0.025577,0.034779,0.028351,0.019284,0.026862,0.026118,0.022058,0.015224,0.016036,0.026321,0.013803,0.013939,0.008052,0.014818,0.019758,unsucc
0.05592,0.050095,0.043687,0.036843,0.024028,0.031455,0.02796,0.000146,0.000146,0.014708,0.02097,0.020824,0.018931,0.016892,0.015582,0.013689,0.014562,0.000146,succ
9.80E-05,9.80E-05,9.80E-05,9.80E-05,9.80E-05,0.038956,9.80E-05,9.80E-05,9.80E-05,9.80E-05,0.020508,0.021293,0.020312,0.014523,0.018153,0.008635,9.80E-05,0.011284,succ
0.050053,0.04755,0.045969,0.033983,0.03833,0.026212,0.026607,0.029768,0.028583,0.02147,0.017782,0.01383,0.021207,0.019099,0.020811,0.010011,0.013567,0.014752,unsucc
0.061183,0.052442,0.05964,0.036504,0.028792,0.037532,0.028278,0.026735,0.030334,0.020051,0.026221,0.020051,0.012339,0.013368,0.017481,0.017481,0.012853,0.013882,unsucc
0.045272,0.048002,0.046565,0.030612,0.032481,0.031906,0.020983,0.019977,0.019258,0.017103,0.020408,0.025295,0.022995,0.018684,0.01854,0.011641,0.015522,0.014085,succ
0.063007,0.050891,0.047013,0.03526,0.031383,0.030534,0.028959,0.027505,0.025688,0.023143,0.017085,0.020114,0.017448,0.013813,0.012844,0.009088,0.012965,0.015873,unsucc
7.60E-05,7.60E-05,7.60E-05,7.60E-05,7.60E-05,0.027528,7.60E-05,7.60E-05,7.60E-05,7.60E-05,0.019133,0.020343,0.018528,0.019133,0.013991,0.0121,7.60E-05,0.010285,unsucc
0.04801,0.051661,0.049836,0.032129,0.034684,0.038518,0.026104,0.020993,0.019168,0.023366,0.024279,0.022636,0.020263,0.014786,0.018255,0.014421,0.010953,0.013143,succ
