小说名,r,v,nh,n,u,nt,p,e,nd,m,d,i,wp,a,句子数,停顿数,句子破碎度,Success,小说名,NP NN,ADVP AD,IP VP,IP NP VP,NP PN,VP ADVP VP,ROOT IP,VP VV,VP VV NP,CLP M,NP NR,NP DNP NP,QP CD CLP,CP IP DEC,VP VP,DNP NP DEG,NP NN NN,VP VA,ADJP JJ,PP P NP,VP VV IP,VP ADVP ADVP VP,DP DT,NP CP NP,NP DP NP,NP QP NP,VP VV VP,CP IP SP,VP VV AS NP,NP NP NP,QP CD,LCP NP LC,VP VC NP,VP VP PU VP,VP VP VP,NP NT,IP NP VP PU,VRD VV VV,VP VV AS,VP IP,VP PP VP,NP ADJP NP,VP VE NP,DNP ADJP DEG,IP ADVP NP VP,ADVP CS,ROOT CP,IP IP PU IP PU,IP VP PU,VP VC VP,PP P LCP,LCP IP LC,VP BA IP,DP DT CLP,PP P IP,DP DT QP,VP VV AS IP,VP NP,NP CP,VP VRD,CP ADVP IP,NP PN NN,IP IP VP,IP IP,IP IP PU IP,DVP VP DEV,VP VV NP IP,VP VV PU IP,QP CLP,VP DVP VP,IP IP PU,IP NP PU VP,FLR SP,VP VE IP,IP IP PU IP PU IP PU,VP ADVP ADVP ADVP VP,VP VP PU IP,VP ADVP PP VP,NP NP,VP VC IP,NP NR NN,VP NP VP,IP ADVP VP,ROOT NP,DNP QP DEG,NP QP CP NP,VSB VV VV,NP ADVP NP,CP IP DEG,IP NP NP VP,DVP ADVP DEV,NP NN NN NN,DNP LCP DEG,NP NP QP NP,VP VV QP,IP NP VP PU PU,NP NP DP NP,NP QP DNP NP,NP VV,IP IP PU NP VP,VP VV PP,IP NP PU NP VP,CP IP SP PU PU,VP VV CP,IP QP VP,VP PP ADVP VP,CP IP SP PU,IP IP PU VP,NP NP DNP NP,NP QP ADJP NP,IP ADVP PU NP VP,IP IP PU IP PU IP PU IP PU,IP IP PU PU,VP VV ADVP,FLR IJ,QP ADVP QP,ROOT FRAG,IP PU VP PU PU,VP VRD NP,VP VV LCP,ADJP ADVP ADJP,NP DNP ADJP NP,VP VCD,DNP NP DEC,QP OD CLP,VPT VV AD VV,VP VV ADVP VP,IP PP PU NP VP,VP LB IP,IP LCP VP,VCD VV VV,VP VV VV NP,VP NP ADVP VP,IP PU VP,NP NP CC NP,IP ADVP NP VP PU,VP MSP VP,DNP PP DEG,VP VV AS QP,NP NN CC NN,IP VP PU PU,IP IP PU IP PU PU,VP LCP VP,VP VP PU VP PU VP,LCP QP LC,CP PU IP SP PU PU,VP VSB,NP NP ADJP NP,VP VV PU PU IP,NP DNP QP NP,DNP DP DEG,VP SB VP,IP IP PU IP PU IP,IP NP PU VP PU,IP CP VP,IP PU NP VP,NP CP ADJP NP,VRD VV AS VV,NP DP CP NP,NP NP PU NP,PP ADVP PP,IP PU IP PU IP PU PU,VP VPT,INTJ IJ,VP QP VP,QP OD,NP DP ADJP NP,NP NP CP NP,IP ADVP PU VP,NP PN PN,ADVP VV,IP LCP PU NP VP,VP PP,VP ADVP NP,NP DNP,NP CP DP NP,VP ADVP DVP VP,NP PU NP PU PU,VRD VV VA,FLR DT,IP PU NP VP PU PU,IP ADVP PU NP VP PU,VP VV VV,IP IP PU CP PU,NP NR NR,VP P NP,NP DNP DP NP,IP PU VP PU,VCD VA VA,NP DP DNP NP,VP VRD AS NP,VP VC CP,IP LCP NP VP,VP PP PU VP,CP ADVP CP,IP CP PU VP,VP VE AS NP,NP CP QP NP,CP IP AS,VP VE VP,class,
0世界,1.94923076923076,5.37384615384615,0.603076923076923,4.89384615384615,2.38615384615384,0.287692307692307,4.31076923076923,0.0153846153846153,0.513846153846153,0.847692307692307,2.66461538461538,0.133846153846153,3.61846153846153,0.938461538461538,1300.0,3746.0,2.8815384615384616,unsucc,0世界,0.102693,0.000312,0.044821,0.000104,0.040973,0.000312,0.030938,0.032654,0.02995,0.019239,0.021215,0.00026,0.009203,0.000416,0.014247,0.001144,0.010503,0.011387,0.009983,0.011595,0.014871,0.000312,0.008631,0.00182,0.007488,0.008735,0.007488,0.000416,0.00416,0.001144,0.009203,5.2e-05,0.000156,0.006344,0.006968,0.006084,0.000104,0.003588,0.00416,0.004576,0.00052,0.000416,5.2e-05,0.000416,5.2e-05,0.00286,0.001352,5.2e-05,0.0026,0.000156,0.002028,0.000416,0.002548,0.001716,0.002496,0.001872,0.002392,0.002184,0.00182,0.001664,0.001716,0.001976,0.001924,0.001924,5.2e-05,0.000676,5.2e-05,5.2e-05,0.001508,0.001092,0.001404,0.000104,0.000988,5.2e-05,5.2e-05,0.000208,0.001196,5.2e-05,0.001144,0.000156,0.001612,0.001976,5.2e-05,0.000832,0.001664,5.2e-05,0.001768,0.000416,0.000416,5.2e-05,0.000312,0.00078,5.2e-05,0.001144,0.00104,0.000104,0.000832,0.000884,0.001144,0.000312,5.2e-05,5.2e-05,0.000312,0.000884,0.001508,0.00052,0.000312,0.000624,0.00026,5.2e-05,5.2e-05,5.2e-05,0.000728,0.000676,0.000416,5.2e-05,0.000104,5.2e-05,0.000988,0.000728,5.2e-05,0.00026,0.000156,0.000572,0.000416,0.000728,0.000676,5.2e-05,0.000364,0.000936,0.000676,0.00026,5.2e-05,0.000624,0.000468,5.2e-05,0.000416,0.00052,0.000312,0.000104,0.000728,5.2e-05,0.000104,0.000156,0.00052,5.2e-05,0.000832,0.000416,5.2e-05,0.00026,0.00026,0.000364,5.2e-05,0.000104,0.000104,0.000572,0.000312,0.000208,5.2e-05,5.2e-05,5.2e-05,5.2e-05,0.000624,5.2e-05,0.000208,0.000468,0.000312,0.000468,5.2e-05,0.000624,0.000364,0.000104,0.00052,0.000208,0.00026,0.000312,0.000312,5.2e-05,0.000416,0.000572,5.2e-05,5.2e-05,0.00026,5.2e-05,0.00052,0.00026,0.000156,5.2e-05,0.00078,0.000312,0.000104,0.000156,0.00052,0.00026,0.000156,0.000104,5.2e-05,0.000312,0.000312,5.2e-05,unsucc,
阿鲁的封存记忆,1.25974025974025,4.12487512487512,0.259740259740259,3.55544455544455,1.55444555444555,0.127872127872127,4.16383616383616,0.0109890109890109,0.347652347652347,0.738261738261738,1.88711288711288,0.161838161838161,3.63136863136863,0.694305694305694,2002.0,5972.0,2.983016983016983,unsucc,阿鲁的封存记忆,0.106776,0.000307,0.045423,8.8e-05,0.031642,4.4e-05,0.042921,0.034232,0.033485,0.026727,0.014307,0.000263,0.008382,8.8e-05,0.018388,0.00079,0.013122,0.009436,0.012244,0.010269,0.010752,4.4e-05,0.008119,0.001448,0.008295,0.010972,0.008163,8.8e-05,0.002238,0.00079,0.008382,4.4e-05,0.000219,0.010752,0.005047,0.003686,8.8e-05,0.005266,0.002238,0.003555,0.000132,0.000219,0.000219,0.000219,0.001185,0.002984,0.002107,0.000132,0.004915,0.000219,0.002897,8.8e-05,0.001624,0.002458,0.002326,0.003818,0.001053,0.001624,0.001448,0.002633,0.001668,0.001273,0.001273,0.001273,0.000132,0.001536,0.001799,8.8e-05,0.001668,0.000922,0.001273,4.4e-05,0.000746,0.000219,0.000132,4.4e-05,4.4e-05,4.4e-05,0.00079,0.000219,0.000263,0.001185,0.001624,0.000351,0.001273,0.001097,0.002589,0.000219,8.8e-05,8.8e-05,4.4e-05,0.001317,4.4e-05,0.00079,0.002194,8.8e-05,0.00079,0.000702,0.001448,4.4e-05,0.000834,4.4e-05,8.8e-05,0.000395,0.000746,0.000132,8.8e-05,0.000483,0.000263,0.000483,4.4e-05,4.4e-05,0.001141,0.000746,0.000351,0.000395,0.000263,0.000307,0.000966,0.000922,0.000263,0.000219,0.000219,0.000571,0.000307,0.001229,0.000658,0.000132,0.000483,0.000395,0.000614,0.000307,0.000219,0.000483,0.00079,0.000571,0.000614,0.000132,0.000571,0.000658,0.000878,8.8e-05,4.4e-05,4.4e-05,0.001492,8.8e-05,0.001229,0.000219,8.8e-05,0.000219,0.000351,0.000966,0.000132,4.4e-05,4.4e-05,4.4e-05,0.000571,8.8e-05,4.4e-05,4.4e-05,4.4e-05,8.8e-05,0.000483,0.000132,0.000395,0.000307,0.000395,0.000219,4.4e-05,4.4e-05,0.000263,4.4e-05,0.000132,4.4e-05,0.000263,0.000176,4.4e-05,8.8e-05,0.000395,0.000395,4.4e-05,4.4e-05,0.000307,4.4e-05,0.000263,0.000351,0.000219,0.000395,0.000483,0.000219,4.4e-05,0.000219,4.4e-05,0.000132,8.8e-05,4.4e-05,0.000219,0.000219,8.8e-05,0.000132,unsucc,
阿玛金斯编年史,1.21949152542372,3.21440677966101,0.2,3.12627118644067,1.17966101694915,0.139830508474576,2.82966101694915,0.0194915254237288,0.272033898305084,0.517796610169491,1.68813559322033,0.176271186440677,2.40762711864406,0.507627118644067,2360.0,5598.0,2.3720338983050846,unsucc,阿玛金斯编年史,0.098666,0.00018,0.038443,9e-05,0.034041,0.00018,0.049894,0.033008,0.02964,0.024296,0.025104,4.5e-05,0.008129,9e-05,0.016078,0.000943,0.015943,0.010374,0.011811,0.011407,0.013473,4.5e-05,0.012664,0.001078,0.013158,0.011182,0.008398,9e-05,0.002335,0.000943,0.008129,0.006422,0.00018,0.000135,0.003862,0.004581,9e-05,0.002919,0.002335,0.003413,0.000314,0.000314,9e-05,0.000314,0.001302,0.002201,0.003233,0.000539,0.000135,0.00018,0.002335,9e-05,0.001707,0.003772,0.00247,0.002425,0.001617,0.003189,0.001078,0.000898,0.001213,0.000763,0.001033,0.001033,0.001033,0.000449,0.001482,0.000853,0.00229,0.000584,0.001033,9e-05,0.001213,9e-05,0.00018,4.5e-05,4.5e-05,4.5e-05,0.000943,0.00018,0.002156,0.001302,0.001257,0.000539,0.001078,4.5e-05,0.001392,0.000314,9e-05,9e-05,0.00018,0.000719,4.5e-05,4.5e-05,0.001572,9e-05,0.000629,0.000898,0.001257,0.000719,0.000808,9e-05,4.5e-05,0.000853,4.5e-05,0.000314,9e-05,0.00018,4.5e-05,0.000898,4.5e-05,0.00018,0.001033,0.000719,0.000225,0.000404,0.000135,0.000135,0.000674,0.000853,4.5e-05,4.5e-05,0.00018,0.000314,0.00018,0.000584,0.000539,4.5e-05,0.000629,0.000584,0.000539,0.000269,4.5e-05,0.00018,0.000629,0.000135,0.000584,0.000449,0.000359,0.000225,0.000135,0.000539,4.5e-05,9e-05,0.000314,4.5e-05,0.000943,0.000314,4.5e-05,4.5e-05,9e-05,0.000404,0.00018,9e-05,0.00018,0.0,0.000404,9e-05,0.000629,0.000135,4.5e-05,0.000539,0.000314,0.001033,0.000404,0.00018,0.000225,0.000135,4.5e-05,0.000494,0.000359,0.00018,0.000314,0.00018,4.5e-05,0.000314,9e-05,4.5e-05,0.000359,0.000404,0.000135,4.5e-05,0.000269,9e-05,0.000404,0.000898,4.5e-05,0.000135,0.000314,0.000629,9e-05,9e-05,0.00018,0.000314,0.000269,4.5e-05,9e-05,0.000539,9e-05,9e-05,unsucc,
艾泽拉斯圣光轨迹,1.9104991394148,5.81411359724612,0.981067125645438,6.14629948364888,3.2736660929432,0.160068846815834,5.83993115318416,0.0258175559380378,0.540447504302926,0.877796901893287,2.61101549053356,0.21170395869191,4.92598967297762,0.963855421686747,581.0,2217.0,3.8158347676419964,succ,艾泽拉斯圣光轨迹,0.108131,0.000156,0.044344,5.2e-05,0.034519,0.000156,0.026357,0.031555,0.026565,0.021626,0.02802,5.2e-05,0.007434,0.000104,0.015128,5.2e-05,0.014088,0.011697,0.011697,0.012789,0.010397,5.2e-05,0.00889,0.001352,0.008214,0.008734,0.007538,0.000104,0.002807,0.002131,0.007434,0.007798,0.000104,0.00759,0.004003,0.003483,5.2e-05,0.004211,0.002807,0.003431,0.000156,5.2e-05,0.000208,0.004055,0.001508,0.003015,0.002131,5.2e-05,0.0013,0.000104,0.004263,0.000104,0.002183,0.003223,0.001456,0.002807,0.002807,0.001508,0.001352,0.002547,0.00182,0.0013,0.001404,0.001768,5.2e-05,0.001456,0.001508,0.001404,0.00156,0.001768,0.00078,5.2e-05,0.000728,0.000208,5.2e-05,5.2e-05,0.000364,5.2e-05,0.002131,0.000104,0.00156,0.001508,0.001923,0.001508,0.000676,0.001716,0.000988,0.001404,0.000104,5.2e-05,0.000156,0.000988,0.000884,0.000936,0.001196,5.2e-05,0.000676,5.2e-05,0.001092,5.2e-05,0.001508,5.2e-05,0.000104,0.000624,0.000728,0.000156,0.000104,0.000416,5.2e-05,5.2e-05,5.2e-05,5.2e-05,0.00052,0.000572,0.000624,0.000416,0.0,0.000104,0.000468,0.00104,5.2e-05,5.2e-05,0.000104,5.2e-05,0.000468,0.000884,0.000572,5.2e-05,0.000832,0.000312,0.00052,0.000416,5.2e-05,0.000416,0.000624,0.000312,0.000676,0.000468,0.000832,0.000364,0.000728,5.2e-05,0.000104,5.2e-05,0.000572,0.000208,0.000312,5.2e-05,0.000156,0.000156,0.000208,0.001404,5.2e-05,5.2e-05,0.000624,5.2e-05,5.2e-05,0.000416,0.000832,5.2e-05,5.2e-05,5.2e-05,0.000312,0.00026,0.000416,0.000468,5.2e-05,0.00052,5.2e-05,5.2e-05,0.000312,0.00052,0.000156,0.000156,0.000156,0.000156,0.000156,5.2e-05,0.000572,0.000312,5.2e-05,5.2e-05,0.000416,0.00026,0.002495,0.000312,0.000156,0.000104,5.2e-05,5.2e-05,0.000208,0.000104,0.000156,0.000156,0.000104,0.00026,0.000156,0.000208,5.2e-05,0.000208,succ,
暗蚀,1.04788961038961,4.36120129870129,0.416396103896103,4.27353896103896,2.05113636363636,0.0933441558441558,3.80681818181818,0.00487012987012987,0.407467532467532,0.545454545454545,2.03896103896103,0.145292207792207,3.10146103896103,0.873376623376623,1232.0,2923.0,2.372564935064935,succ,暗蚀,0.118736,0.000197,0.054806,6.6e-05,0.023957,9.8e-05,0.039218,0.035345,0.032949,0.018673,0.019067,6.6e-05,0.006137,0.000361,0.011454,0.00105,0.013127,0.012504,0.014538,0.012602,0.012537,3.3e-05,0.006695,0.001707,0.006235,0.00699,0.007351,0.000361,0.001838,0.00105,0.006137,6.6e-05,0.000328,0.000131,0.004004,0.002199,6.6e-05,0.00338,0.001838,0.004693,0.000525,9.8e-05,0.000197,9.8e-05,0.001017,0.003183,0.001772,0.000164,0.000131,0.000328,0.00466,0.000361,0.002068,0.00338,0.003741,0.001608,0.001477,0.002855,0.001707,0.001313,0.002166,0.000624,0.000755,0.000755,0.000755,0.000886,0.0021,0.000131,0.000755,0.001181,0.000755,6.6e-05,0.000328,0.000197,9.8e-05,3.3e-05,0.000131,6.6e-05,0.00105,0.000328,0.000689,0.001017,0.00082,0.00151,0.001149,3.3e-05,0.001477,9.8e-05,0.000361,6.6e-05,9.8e-05,0.00105,6.6e-05,0.000591,0.001214,6.6e-05,0.000427,0.000722,0.001313,9.8e-05,0.002232,6.6e-05,0.000361,0.000295,0.000591,0.000525,0.000361,0.000459,6.6e-05,0.000492,6.6e-05,3.3e-05,0.000591,0.00023,9.8e-05,0.000131,0.000919,0.000131,0.001017,3.3e-05,3.3e-05,6.6e-05,0.000328,3.3e-05,0.000525,0.000788,0.00023,3.3e-05,0.00082,0.000788,0.000755,0.000328,9.8e-05,0.000459,0.00082,0.000131,0.001313,0.000788,0.000394,0.000985,0.000131,0.000164,3.3e-05,6.6e-05,0.000755,0.00023,0.000919,9.8e-05,9.8e-05,6.6e-05,0.000328,0.00128,9.8e-05,6.6e-05,3.3e-05,0.000295,0.001378,3.3e-05,0.000689,9.8e-05,6.6e-05,0.000164,0.000328,3.3e-05,0.000131,0.000525,0.000427,0.000853,6.6e-05,0.000131,0.000328,3.3e-05,0.000525,9.8e-05,6.6e-05,0.000427,9.8e-05,9.8e-05,0.00023,0.000131,0.000131,6.6e-05,0.000328,3.3e-05,0.000886,0.000591,6.6e-05,0.000131,0.000295,0.000295,3.3e-05,6.6e-05,0.0,0.000427,6.6e-05,3.3e-05,9.8e-05,0.000624,9.8e-05,0.000197,succ,
暗言师,1.56458333333333,3.99270833333333,0.0458333333333333,3.16145833333333,1.89791666666666,0.134375,4.14479166666666,0.021875,0.295833333333333,0.680208333333333,2.11979166666666,0.265625,3.5875,0.66875,1920.0,4882.0,2.542708333333333,unsucc,暗言师,0.107618,0.00022,0.043505,4.4e-05,0.038529,4.4e-05,0.040467,0.036636,0.025407,0.0262,0.0048,8.8e-05,0.006209,0.000396,0.018186,0.000969,0.006649,0.01277,0.009819,0.011449,0.010216,4.4e-05,0.011405,0.001321,0.01114,0.008234,0.00775,0.000396,0.002158,0.000969,0.006209,0.007001,8.8e-05,4.4e-05,0.004095,0.004227,4.4e-05,0.003567,0.002158,0.002554,0.000264,0.00022,0.000132,0.00022,0.000837,0.002862,0.002774,8.8e-05,4.4e-05,8.8e-05,0.002642,0.000396,0.001013,0.003655,0.002686,0.002774,0.000881,0.002906,0.001321,0.001409,0.001629,0.000661,0.001013,0.001013,0.000132,0.002774,0.000705,4.4e-05,0.001497,0.002158,0.001013,4.4e-05,0.000396,0.000132,8.8e-05,4.4e-05,4.4e-05,4.4e-05,0.000969,8.8e-05,0.000176,0.000837,0.001013,0.001277,0.000881,0.002686,0.000925,0.00022,0.000396,4.4e-05,4.4e-05,0.00022,0.001893,0.000969,0.001145,4.4e-05,0.000837,0.000925,0.001585,0.000132,0.001453,4.4e-05,0.000396,0.000264,0.000837,0.000264,0.000396,0.000352,8.8e-05,0.000484,4.4e-05,8.8e-05,0.000749,0.000484,0.000484,0.000396,0.000837,4.4e-05,0.000881,0.000528,4.4e-05,4.4e-05,8.8e-05,0.000661,0.00022,0.001189,0.000352,4.4e-05,0.000881,0.000837,0.000705,0.000396,0.00022,0.000352,0.000528,4.4e-05,0.000528,0.000572,0.000661,0.000793,4.4e-05,8.8e-05,4.4e-05,4.4e-05,0.000881,0.000308,0.000484,0.00022,4.4e-05,8.8e-05,0.000308,0.000661,8.8e-05,4.4e-05,4.4e-05,0.000264,0.000396,0.000132,0.001145,4.4e-05,0.00022,8.8e-05,0.000484,0.000308,0.000396,0.00022,0.000132,0.000308,4.4e-05,0.000396,0.000132,0.000352,0.000264,4.4e-05,8.8e-05,0.000264,4.4e-05,4.4e-05,0.000352,0.00022,4.4e-05,4.4e-05,0.000616,4.4e-05,4.4e-05,0.00044,8.8e-05,4.4e-05,0.00022,0.000661,8.8e-05,8.8e-05,8.8e-05,0.000264,8.8e-05,4.4e-05,4.4e-05,0.000528,8.8e-05,8.8e-05,unsucc,
奥法星术师——禁忌铭文,2.23717948717948,6.61538461538461,0.557692307692307,6.30128205128205,3.27564102564102,0.16025641025641,6.08974358974358,0.179487179487179,0.474358974358974,0.756410256410256,2.73076923076923,0.423076923076923,5.23717948717948,1.01923076923076,312.0,1336.0,4.282051282051282,unsucc,奥法星术师——禁忌铭文,0.122565,0.087468,0.042264,0.048695,0.040978,0.015803,0.028666,0.02885,0.02885,0.017457,0.011944,0.000184,0.004961,0.012495,0.015803,0.000368,0.020213,0.010658,0.013414,0.010474,0.011209,0.006248,0.011393,0.000919,0.01029,0.000184,0.007534,0.004961,0.004226,0.000368,0.004961,0.006799,0.000184,0.006615,0.004594,0.004778,0.004961,0.006799,0.004226,0.002756,0.003859,0.000184,0.000368,0.000184,0.000551,0.002021,0.001654,0.000184,0.00147,0.000184,0.00294,0.001103,0.001838,0.001654,0.001286,0.000919,0.002389,0.002205,0.000919,0.00441,0.001654,0.000368,0.001103,0.001103,0.000184,0.001103,0.002389,0.00147,0.000735,0.00294,0.000735,0.002205,0.00147,0.000368,0.000184,0.000735,0.000184,0.001654,0.000368,0.000184,0.007534,0.000551,0.00147,0.000735,0.000184,0.000184,0.001286,0.000184,0.000919,0.000368,0.002205,0.001286,0.000551,0.000184,0.000551,0.00147,0.000368,0.000184,0.001286,0.000184,0.000919,0.00147,0.000184,0.000368,0.000551,0.000735,0.004961,0.000735,0.000184,0.000184,0.000368,0.000184,0.000735,0.000368,0.000184,0.000184,0.000184,0.000184,0.000551,0.000551,0.000551,0.000184,0.000184,0.000368,0.000184,0.000551,0.000184,0.00147,0.000551,0.001103,0.000184,0.000184,0.000184,0.0,0.000368,0.000184,0.000184,0.000184,0.000184,0.000735,0.000184,0.000184,0.0,0.000184,0.0,0.000184,0.000919,0.000184,0.02885,0.000184,0.0,0.000368,0.000184,0.000368,0.000368,0.0,0.000551,0.001103,0.000368,0.000368,0.000551,0.000184,0.000184,0.000551,0.000184,0.000368,0.000184,0.000368,0.000184,0.000184,0.000735,0.000551,0.0,0.000184,0.000184,0.000919,0.00294,0.000551,0.0,0.0,0.000184,0.000368,0.000184,0.000368,0.011944,0.000184,0.000184,0.0,0.000184,0.000368,0.000551,0.000184,0.0,0.0,0.0,0.000184,0.000184,0.000184,0.000368,0.000184,unsucc,
奥术年代,1.48721804511278,4.80601503759398,0.449624060150375,5.3172932330827,2.69022556390977,0.166917293233082,4.46015037593984,0.00902255639097744,0.488721804511278,0.962406015037593,2.60451127819548,0.159398496240601,3.75037593984962,1.0796992481203,665.0,1907.0,2.867669172932331,succ,奥术年代,0.113353,0.0002,0.039203,0.036649,0.030341,5e-05,0.031392,0.025284,0.024333,0.027737,0.016572,0.0003,0.010464,0.00025,0.015771,0.001602,0.017073,0.012417,0.018124,0.012016,0.008461,5e-05,0.008712,0.001752,0.008762,0.010064,0.008261,0.00025,0.002303,0.001602,0.010464,5e-05,0.005007,5e-05,0.003405,0.004156,5e-05,0.005608,0.002303,0.002854,5e-05,0.006609,5e-05,0.005057,5e-05,0.002103,0.001552,0.0002,5e-05,0.001502,0.003755,0.00025,0.000901,0.004156,0.002704,0.002003,0.002303,0.001752,0.001752,0.002704,0.001652,0.00035,0.001252,0.001502,0.0002,0.001202,0.001152,0.000451,0.000601,0.001602,0.001502,0.00015,0.000451,5e-05,0.0002,5e-05,5e-05,5e-05,0.001602,0.000801,0.000501,0.001502,0.001352,0.000751,0.001402,0.002203,0.000501,5e-05,0.00025,0.000801,5e-05,0.001502,5e-05,0.001602,0.000701,5e-05,0.000851,0.001152,0.001152,5e-05,0.000901,0.00015,0.00025,0.000601,0.000901,5e-05,0.00025,0.00035,0.0003,0.000951,5e-05,5e-05,0.000501,0.000451,0.00015,0.000501,0.00015,5e-05,0.000651,5e-05,0.0002,0.0003,0.000701,0.000601,0.0002,0.000601,0.000451,5e-05,0.000401,0.000551,0.00025,0.00035,5e-05,0.00035,0.001452,5e-05,0.000701,0.001001,0.00025,0.001001,5e-05,0.0002,0.00035,5e-05,0.001101,5e-05,0.00025,0.000451,5e-05,5e-05,0.000801,0.00025,0.0002,5e-05,0.000451,5e-05,0.000801,0.00035,5e-05,0.00015,5e-05,0.0002,0.0002,0.0001,0.00025,0.0002,0.000501,0.00035,5e-05,0.0002,0.00015,0.000551,5e-05,5e-05,0.0003,5e-05,5e-05,0.00015,0.00025,0.0001,5e-05,5e-05,0.00035,0.00015,0.00015,5e-05,0.0001,5e-05,0.000601,0.00015,0.000551,5e-05,0.00035,5e-05,5e-05,0.00015,5e-05,0.000501,0.00025,5e-05,succ,
奥术与剑,1.47586206896551,4.39507389162561,0.41871921182266,3.90837438423645,1.87093596059113,0.141871921182266,4.17241379310344,0.0206896551724137,0.372413793103448,0.541871921182266,1.96847290640394,0.145812807881773,3.60985221674876,0.861083743842364,2030.0,5818.0,2.8660098522167488,unsucc,奥术与剑,0.109264,8.3e-05,0.039702,4.1e-05,0.04115,4.1e-05,0.040819,0.033416,0.027874,0.018983,0.025972,4.1e-05,0.005542,0.000124,0.016584,4.1e-05,0.011663,0.011621,0.011249,4.1e-05,0.011704,4.1e-05,0.00641,0.001117,0.006328,0.008726,0.008768,0.000124,0.003226,0.001282,0.005542,4.1e-05,8.3e-05,4.1e-05,0.004218,0.004839,4.1e-05,0.00517,0.003226,0.004053,0.000248,0.000165,0.000248,0.000165,4.1e-05,0.002854,0.002109,0.000165,4.1e-05,8.3e-05,4.1e-05,0.000124,0.002523,0.002109,4.1e-05,0.002192,0.001365,0.002605,0.001117,0.00273,0.00153,0.001654,0.001323,0.001365,0.001365,0.001902,0.001985,4.1e-05,0.001696,0.001696,0.001365,4.1e-05,0.000248,0.000248,8.3e-05,4.1e-05,4.1e-05,4.1e-05,0.001282,8.3e-05,0.000662,0.000951,4.1e-05,0.000662,0.000827,4.1e-05,0.001696,0.000165,0.000124,4.1e-05,4.1e-05,0.000744,4.1e-05,0.001117,0.000993,4.1e-05,0.000579,4.1e-05,0.000951,4.1e-05,0.001241,4.1e-05,0.000124,0.000414,0.000703,0.000248,0.000124,0.000496,4.1e-05,0.000827,4.1e-05,8.3e-05,0.001075,0.000703,0.000207,0.000124,0.000248,4.1e-05,0.000827,0.001158,8.3e-05,0.000165,8.3e-05,4.1e-05,0.00062,0.000951,0.000703,4.1e-05,0.00062,0.00062,0.000331,0.000414,0.000165,0.000496,0.000786,4.1e-05,0.000744,0.000248,0.00062,0.001075,4.1e-05,0.000165,4.1e-05,4.1e-05,0.000248,0.000165,0.001158,0.000165,4.1e-05,0.000331,8.3e-05,0.001241,8.3e-05,4.1e-05,0.000289,4.1e-05,0.000331,0.000331,0.000289,4.1e-05,8.3e-05,8.3e-05,0.000414,0.000165,0.000124,0.00062,0.000538,0.000165,4.1e-05,0.000331,0.000703,0.00062,0.000248,4.1e-05,0.000331,0.000124,4.1e-05,0.000124,0.000372,0.000207,4.1e-05,4.1e-05,0.000414,4.1e-05,0.001323,0.000289,0.000165,4.1e-05,0.000248,4.1e-05,0.000124,8.3e-05,0.000124,4.1e-05,8.3e-05,8.3e-05,0.000207,0.000289,0.000124,4.1e-05,unsucc,
