小说名,标准化类符/形符比,类别
帝国进化,0.221987,succ
帝武,0.22957,succ
帝御山河,0.267007,succ
帝之狱,0.108883,unsucc
帝尊重临,0.102991,unsucc
第七都市,0.10742,unsucc
第四生物帝国,0.238299,succ
巅峰机皇,0.087348,unsucc
巅峰进化,0.2763,succ
电影世界大抽奖,0.193918,succ
电影世界的魔法学院,0.216608,succ
电影世界冒险王,0.214436,succ
电影中的兑换强者,0.187327,succ
动画世界大冒险,0.229424,succ
都市狙魔人,0.238806,succ
都市之次元入侵,0.096354,unsucc
都市之魔法世家,0.211551,succ
都市最强神话主宰,0.114479,unsucc
斗剑苍穹,0.135889,unsucc
斗罗大陆,0.211494,succ
斗破苍穹,0.211688,succ
斗医,0.296839,succ
独断千古,0.104974,unsucc
独掌苍穹,0.215252,succ
多元圣灵,0.131279,unsucc
多元宇宙求生指南,0.123496,unsucc
夺取神格,0.248652,succ
夺舍,0.173967,succ
夺天战尊,0.109218,unsucc
厄运永恒,0.116439,unsucc
恶灵附身,0.233004,succ
恶魔法则,0.194944,succ
恶魔篇章,0.18155,succ
二次元大穿梭,0.272536,succ
法师路,0.199756,succ
反派话不多,0.080381,unsucc
梵星王座,0.136261,unsucc
方寸杀,0.185368,succ
飞升之后,0.235704,succ
飞天路,0.110085,unsucc
非凡末世之狂想,0.136497,unsucc
废土,0.246623,succ
废土国度,0.233128,succ
废土崛起,0.233784,succ
焚天剑神,0.103429,unsucc
焚天仙境〈原焚天仙界〉,0.214355,succ
焚天之怒,0.177774,succ
风临异世,0.200159,succ
风起南荒,0.132007,unsucc
风水大师闯异界,0.222265,succ
风逍遥异界踪横,0.122227,unsucc
风姿物语,0.143344,succ
封魔大陆之超神纪,0.132592,unsucc
封玄录,0.131428,unsucc
疯狂种子人,0.097189,unsucc
烽火纪元,0.212477,succ
烽火天丹路,0.1519,unsucc
凤行九天,0.097778,unsucc
佛心邪神,0.244862,succ
拂晓的王牌,0.232919,succ
福地,0.218416,succ
覆道长生,0.131359,unsucc
刚拳,0.2659,succ
钢铁王座,0.213001,succ
搞个帮派去修仙,0.091531,unsucc
格斗狂想,0.245157,succ
弓,0.232913,succ
孤岛求生记之唯我独尊,0.117131,unsucc
孤风祭,0.087864,unsucc
孤剑指星海,0.098789,unsucc
古武通神,0.306522,succ
古武无双,0.266405,succ
怪谈研究会,0.226472,succ
怪物召唤师,0.208096,succ
关于世界的一己之见,0.253225,succ
光的回归,0.1019,unsucc
光芒传奇,0.235452,succ
光明纪元,0.255241,succ
光脑武尊,0.196187,succ
光速铁匠,0.236492,succ
国产零零发,0.183574,succ
海盗,0.183439,succ
海神崛起,0.133851,unsucc
韩小王传奇,0.119249,unsucc
悍将,0.22551,succ
行尸走肉：陨落的世界,0.167289,unsucc
浩劫重生,0.204449,succ
