@relation pima_diabetes
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute 'class' { unsucc, succ}
@data
0.056452,0.033169,0.035445,0.027901,0.034794,0.013788,0.030632,0.049298,0.024844,0.046306,0.014048,0.014178,0.013072,0.022373,0.017105,0.01808,0.00956,0.023543,succ
0.053683,0.059171,0.052794,0.03084,0.032565,0.031206,0.027913,0.025665,0.023104,0.024515,0.018661,0.01887,0.017981,0.010088,0.0161,0.015629,0.012963,0.014584,unsucc
0.049548,0.053624,0.049675,0.035792,0.032735,0.035155,0.024455,0.027512,0.021144,0.021144,0.025474,0.02522,0.022035,0.011081,0.019997,0.01987,0.009426,0.017068,succ
0.049517,0.000138,0.000138,0.029931,0.035586,0.000138,0.029241,0.020552,0.016552,0.016,0.000138,0.000138,0.000138,0.009103,0.017793,0.015034,0.014621,0.000138,succ
0.052808,0.057577,0.051042,0.0355,0.036913,0.033204,0.027552,0.016955,0.020311,0.018898,0.020311,0.020487,0.022783,0.010067,0.020841,0.016602,0.015189,0.011657,succ
0.047994,0.0001,0.0001,0.034253,0.033954,0.0001,0.022005,0.02569,0.020512,0.026586,0.0001,0.0001,0.0001,0.013044,0.017226,0.014936,0.010555,0.0001,succ
0.057506,0.065892,0.053672,0.033665,0.035582,0.034384,0.025398,0.02432,0.025997,0.023841,0.022882,0.019648,0.019648,0.010543,0.020247,0.019169,0.014376,0.018689,succ
0.053242,0.050822,0.050057,0.031843,0.036683,0.02764,0.029423,0.026111,0.016304,0.017705,0.02229,0.021016,0.020125,0.010954,0.019488,0.017705,0.000127,0.018469,succ
0.055296,0.049091,0.049837,0.031631,0.032648,0.030343,0.025902,0.022172,0.020918,0.023393,0.020003,0.022003,0.02085,0.011798,0.018918,0.015494,0.013426,0.012036,unsucc
0.062334,0.059085,0.05652,0.034117,0.025994,0.034203,0.022403,0.023771,0.026678,0.021804,0.023685,0.015904,0.015049,0.011287,0.015391,0.015135,0.01274,0.015049,unsucc
0.056252,0.058944,0.053838,0.032025,0.034345,0.036016,0.028126,0.020143,0.018936,0.017451,0.019122,0.02135,0.021907,0.007147,0.01773,0.014295,0.014017,0.013367,unsucc
0.054912,0.056873,0.049741,0.035479,0.034409,0.033161,0.024068,0.024782,0.021038,0.017115,0.022464,0.019611,0.019968,0.011945,0.014976,0.014263,0.014976,0.016937,succ
0.053782,0.05153,0.048351,0.031792,0.031262,0.032852,0.026626,0.025434,0.018546,0.020533,0.0204,0.02146,0.02093,0.010597,0.019605,0.018016,0.015896,0.014704,succ
0.057313,5.40E-05,5.40E-05,0.037595,0.031528,5.40E-05,0.024594,0.030336,0.023619,0.027411,5.40E-05,5.40E-05,5.40E-05,0.011809,0.019718,0.01831,0.014193,5.40E-05,unsucc
0.047244,0.053632,0.055564,0.030753,0.026148,0.029565,0.018422,0.026742,0.018125,0.025256,0.023622,0.017234,0.016639,0.012777,0.018125,0.016937,0.013817,0.017085,succ
0.054474,0.04667,0.047133,0.032066,0.036239,0.027585,0.028203,0.024648,0.021094,0.021017,0.019858,0.02403,0.019781,0.009658,0.019008,0.017772,0.014295,0.012904,succ
0.052563,0.051694,0.046916,0.026064,0.039676,0.027657,0.030264,0.024616,0.019259,0.0181,0.016507,0.024037,0.021575,0.010426,0.018535,0.013467,0.013177,0.017521,succ
0.083149,0.048484,0.048179,0.038711,0.026418,0.023975,0.029472,0.032908,0.032985,0.029778,0.021074,0.014431,0.014507,0.017103,0.014202,0.016721,0.012369,0.015423,unsucc
0.045121,0.051151,0.048437,0.027434,0.028841,0.034268,0.023515,0.028942,0.016682,0.023716,0.018993,0.022108,0.0205,0.011557,0.013365,0.017184,0.01437,0.016682,succ
0.050017,0.044348,0.045849,0.030177,0.03051,0.031677,0.022508,0.025008,0.018173,0.021507,0.023008,0.020173,0.021841,0.011337,0.015172,0.016506,0.011004,0.015505,succ
0.057856,0.057247,0.053593,0.036338,0.032684,0.036744,0.025985,0.020706,0.02233,0.016849,0.019691,0.01827,0.018473,0.007714,0.013804,0.012586,0.012586,0.013601,succ
0.055292,0.055766,0.0444,0.030902,0.033981,0.024864,0.022614,0.029126,0.020128,0.022969,0.017523,0.016457,0.019417,0.01113,0.015865,0.015274,0.012787,0.013853,succ
9.20E-05,9.20E-05,9.20E-05,9.20E-05,9.20E-05,0.071363,9.20E-05,9.20E-05,9.20E-05,9.20E-05,0.015818,0.025198,0.031451,0.004966,0.00938,0.010484,9.20E-05,0.015082,unsucc
0.056954,0.049619,0.04703,0.033079,0.038401,0.024738,0.02934,0.021142,0.020423,0.017834,0.021573,0.02071,0.021142,0.008486,0.018697,0.020567,0.013376,0.011074,unsucc
0.061264,0.04264,0.039699,0.032511,0.031531,0.022382,0.02859,0.033981,0.027283,0.028427,0.017154,0.017644,0.01454,0.010783,0.017317,0.018298,0.015847,0.011599,unsucc
0.062179,0.060791,0.056072,0.034143,0.024289,0.033727,0.019431,0.024011,0.022623,0.019292,0.02304,0.014018,0.016655,0.010687,0.014296,0.011381,0.015406,0.014157,succ
0.046836,0.047796,0.038669,0.035787,0.028702,0.030143,0.024499,0.024138,0.022817,0.017653,0.019935,0.016813,0.015972,0.011048,0.018134,0.017173,0.014771,0.014171,succ
0.056557,0.045461,0.041291,0.036315,0.035373,0.02273,0.027572,0.031473,0.02152,0.023403,0.020713,0.018561,0.017888,0.011836,0.015602,0.013315,0.012105,0.016947,unsucc
0.060861,0.042839,0.044464,0.04018,0.03693,0.019647,0.027328,0.020016,0.024152,0.016471,0.019425,0.01684,0.015215,0.008863,0.017136,0.017357,0.01721,0.011522,unsucc
0.060228,0.046525,0.041848,0.033642,0.027817,0.026257,0.022975,0.026586,0.022893,0.021662,0.020596,0.012636,0.013785,0.012965,0.014934,0.01477,0.015016,0.01559,succ
0.044882,0.05334,0.049025,0.031245,0.032971,0.0454,0.021405,0.016917,0.016054,0.010185,0.027102,0.023822,0.026929,0.007595,0.015881,0.013465,0.013465,0.013637,succ
0.063671,0.048397,0.04671,0.043335,0.036853,0.022201,0.0341,0.022467,0.031258,0.01856,0.021046,0.017228,0.015008,0.009591,0.018471,0.018915,0.020424,0.010745,unsucc
0.046958,0.051761,0.043757,0.032729,0.036464,0.032906,0.027748,0.024546,0.018677,0.015831,0.01921,0.01921,0.019388,0.009427,0.017787,0.012451,0.014941,0.01672,succ
0.050255,0.000164,0.000164,0.023485,0.021514,0.000164,0.014945,0.027262,0.015438,0.018394,0.000164,0.000164,0.000164,0.008047,0.010839,0.00969,0.023813,0.000164,succ
0.071381,0.044328,0.043659,0.043391,0.02357,0.019151,0.02491,0.031472,0.033347,0.026651,0.022767,0.01366,0.012053,0.01433,0.016071,0.013124,0.010848,0.017812,succ
0.063871,0.045261,0.043883,0.039403,0.034348,0.022631,0.028604,0.026422,0.029179,0.022056,0.019874,0.016772,0.020218,0.012522,0.01884,0.021941,0.00965,0.010913,succ
0.052576,0.065195,0.056782,0.025938,0.023134,0.046092,0.022608,0.01367,0.017,0.013495,0.019628,0.020154,0.016824,0.00368,0.012093,0.012794,0.023659,0.008062,succ
0.052916,0.045214,0.046114,0.035011,0.03381,0.024307,0.028308,0.029509,0.024007,0.028208,0.021907,0.019606,0.018606,0.015705,0.015005,0.014904,0.012204,0.016505,unsucc
0.058603,0.050937,0.044974,0.029813,0.035094,0.029813,0.029131,0.019761,0.020954,0.019591,0.017888,0.025383,0.022317,0.006303,0.014651,0.01414,0.020443,0.010051,succ
0.047538,0.043729,0.039002,0.038871,0.035194,0.030072,0.027971,0.028365,0.021274,0.019435,0.021405,0.021668,0.019435,0.010768,0.021405,0.020617,0.01497,0.013132,succ
0.053471,0.048938,0.048099,8.40E-05,0.035004,0.029799,0.032989,0.019558,8.40E-05,0.019391,8.40E-05,0.026945,0.024175,8.40E-05,8.40E-05,8.40E-05,0.014858,0.011668,succ
0.058163,0.065083,0.055919,0.032168,0.039087,0.041519,0.023939,0.020946,0.016832,0.016832,0.02132,0.023752,0.02824,0.005424,0.017954,0.013465,0.013465,0.014027,succ
0.06794,0.053225,0.050877,0.038979,0.034909,0.030839,0.026143,0.021603,0.024421,0.015654,0.02129,0.017533,0.018785,0.009236,0.018785,0.014715,0.015498,0.011584,succ
0.057787,0.046889,0.042453,0.037258,0.032442,0.024838,0.027246,0.023571,0.024205,0.02167,0.02205,0.015461,0.017108,0.009378,0.021417,0.019136,0.016855,0.014067,succ
0.067585,0.058721,0.061728,0.044793,0.024217,0.023583,0.017094,0.01931,0.030864,0.015195,0.031181,0.014245,0.015353,0.01013,0.012504,0.015036,0.013137,0.011871,unsucc
0.076016,0.051987,0.053499,0.030981,0.040199,0.028865,0.030376,0.023425,0.0201,0.023122,0.022216,0.018437,0.020855,0.012241,0.018891,0.018437,0.010579,0.013601,succ
0.05298,0.04381,0.042961,0.036169,0.033622,0.02666,0.030565,0.023094,0.020377,0.020207,0.024283,0.022245,0.019868,0.008321,0.020037,0.019019,0.014264,0.016132,succ
0.048707,0.049784,0.047306,0.031358,0.031627,0.030388,0.025647,0.021228,0.019397,0.018211,0.018103,0.020528,0.017134,0.009483,0.020043,0.018427,0.012716,0.013147,unsucc
0.047377,0.043944,0.04669,0.03749,0.035979,0.024718,0.029388,0.019912,0.020873,0.018539,0.023071,0.019912,0.019775,0.008514,0.018814,0.018402,0.000137,0.010574,succ
0.063714,0.052208,0.050194,0.031785,0.031066,0.037825,0.023587,0.021573,0.019272,0.019704,0.023155,0.018265,0.018697,0.007479,0.014814,0.013663,0.014526,0.013951,succ
0.055726,0.051111,0.047521,0.030427,0.026667,0.031282,0.022393,0.02547,0.023761,0.024786,0.021538,0.018803,0.018291,0.008718,0.012991,0.015214,0.014017,0.01453,succ
5.30E-05,5.30E-05,5.30E-05,5.30E-05,5.30E-05,0.033103,5.30E-05,5.30E-05,5.30E-05,5.30E-05,0.017243,0.017988,0.017137,0.011389,0.016392,0.014156,5.30E-05,0.01884,unsucc
0.063633,0.054924,0.053324,0.028973,0.034483,0.031994,0.031639,0.020974,0.023818,0.023107,0.020441,0.023285,0.024529,0.011198,0.014931,0.01813,0.015642,0.013864,succ
0.049625,0.049908,0.04298,0.028983,0.030115,0.033366,0.024601,0.018097,0.020783,0.018238,0.022621,0.017531,0.018804,0.01018,0.015128,0.017673,0.014845,0.014845,succ
0.052373,0.058403,0.056816,0.025869,0.031503,0.039518,0.02698,0.01587,0.016347,0.013807,0.018251,0.028011,0.022854,0.007459,0.016664,0.013649,0.017458,0.009364,unsucc
0.059046,0.050347,0.047448,0.03005,0.033038,0.034971,0.027326,0.024515,0.018803,0.019067,0.017485,0.020912,0.01933,0.007644,0.015025,0.014849,0.016079,0.013004,unsucc
0.059457,0.044808,0.052133,0.029298,0.034037,0.025851,0.03576,0.025851,0.018957,0.021542,0.015941,0.017665,0.019819,0.012495,0.01508,0.018957,0.015941,0.011633,unsucc
0.053297,0.051216,0.048335,0.03121,0.024008,0.03089,0.019046,8.00E-05,0.020166,8.00E-05,0.019366,0.016805,0.015845,8.00E-05,0.012804,0.008963,0.009763,8.00E-05,unsucc
0.046201,0.056468,0.045175,0.032084,0.030287,0.027464,0.026181,0.01848,0.023871,0.01386,0.025411,0.023101,0.026694,0.006674,0.015144,0.017967,0.015657,0.014117,succ
0.051929,0.04844,0.053777,0.032635,0.034072,0.028941,0.028325,0.013752,0.023194,0.014984,0.020115,0.02381,0.015189,0.009647,0.017241,0.012315,0.014573,0.008826,succ
0.055082,0.057139,0.047004,0.000147,0.034224,0.032902,0.02688,0.024971,0.000147,0.019242,0.000147,0.01983,0.018361,0.000147,0.000147,0.000147,0.014542,0.015129,succ
0.055357,0.054697,0.052187,0.034615,0.029859,0.032765,0.027348,0.020478,0.021667,0.019025,0.023781,0.019157,0.019289,0.008456,0.010569,0.012815,0.016647,0.012948,succ
0.055036,0.055036,0.054058,0.029613,0.00014,0.032546,0.00014,0.022908,0.023327,0.020953,0.022349,0.00014,0.00014,0.010756,0.00014,0.00014,0.012851,0.01313,succ
0.064059,0.051562,0.047433,0.036403,0.032383,0.027438,0.028036,0.027927,0.024667,0.023092,0.021081,0.017604,0.014616,0.012388,0.016898,0.016517,0.012877,0.0163,unsucc
0.052662,0.045899,0.049353,0.03482,0.029784,0.024029,0.02446,0.022158,0.023453,0.021439,0.022014,0.017842,0.019424,0.010935,0.016259,0.016403,0.010072,0.009784,succ
0.064744,0.05806,0.053667,0.025592,0.034377,0.041444,0.029985,0.019862,0.01929,0.018144,0.018908,0.02521,0.020244,0.010695,0.016234,0.01547,0.012414,0.011077,succ
0.055605,0.046722,0.045834,0.029845,0.033931,0.02878,0.029845,0.026825,0.01741,0.025404,0.021673,0.021851,0.021496,0.010659,0.018298,0.017587,0.016699,0.013679,succ
0.045921,0.052115,0.051511,0.032628,0.031722,0.037462,0.023716,0.025227,0.016616,0.022356,0.022356,0.027795,0.022356,0.009819,0.018127,0.015106,0.017221,0.01858,succ
0.051366,0.065886,0.060265,0.000156,0.025917,0.046526,0.02139,0.015144,0.000156,0.013427,0.000156,0.021858,0.020609,0.000156,0.000156,0.000156,0.014052,0.009836,unsucc
0.058372,0.045501,0.046404,0.035339,0.032855,0.027549,0.023484,0.000113,0.021226,0.000113,0.021791,0.015468,0.017274,0.000113,0.017049,0.018516,0.014113,0.000113,succ
0.051178,0.051457,0.045461,0.030121,0.033608,0.031655,0.027611,0.025519,0.018547,0.022591,0.021754,0.019663,0.016874,0.010877,0.021196,0.019105,0.016176,0.018826,succ
0.056753,0.05704,0.047557,0.031178,0.024569,0.032471,0.01681,0.020833,0.025287,0.019684,0.020977,0.011494,0.018822,0.010776,0.011063,0.014655,0.013793,0.013649,succ
