小说名,标准化类符/形符比,类别
都市之冥神至尊,0.090327,unsucc
都市之替身传说,0.201479,succ
都市之唯我长生,0.109284,unsucc
都市之系统大抽奖,0.22332,succ
都市之召唤战争游戏,0.121116,unsucc
都市之最强纨绔,0.261371,succ
都市种子王,0.261959,succ
都市最强生存系统,0.126494,unsucc
都市最强装逼系统,0.26202,succ
独医无二,0.299113,succ
独占星光,0.289904,succ
独自干掉世界的男人,0.118198,unsucc
读档九八,0.216552,succ
读书成圣,0.198439,succ
读心术之悠悠我心,0.074269,unsucc
夺舍之停不下来,0.240578,succ
二次元之悠闲,0.234974,succ
二世极品公子,0.103718,unsucc
发个红包去未来,0.227397,succ
发个微信去天庭,0.197335,succ
繁荣末世大逃杀,0.247772,succ
反穿越大时代,0.269938,succ
反转人生,0.209434,succ
贩罪,0.229683,succ
房产大亨,0.222956,succ
非人类基因统合体,0.253502,succ
匪风悍气,0.171739,succ
废脉,0.137432,unsucc
风水大术士,0.227277,succ
风水大相师,0.217413,succ
疯狂的硬盘,0.154809,succ
疯狂反穿,0.245806,succ
疯狂农场主,0.284674,succ
疯狂神豪玩科技,0.29092,succ
疯狂我的大学生活,0.217823,succ
疯狂嗅觉之七宗罪,0.159064,unsucc
符宝,0.216193,succ
富豪,0.217997,succ
改写一生,0.215885,succ
盖世小神农,0.129929,unsucc
港岛大亨,0.22665,succ
港娱1975,0.203782,succ
高山牧场,0.196787,succ
歌王,0.166356,succ
歌星,0.19815,succ
格式人生,0.249657,succ
工业霸主,0.208276,succ
工业帝国,0.300192,succ
古玩帝国,0.211461,succ
古玩人生,0.267546,succ
乖张的自我,0.073967,unsucc
怪厨,0.217228,succ
官策,0.241507,succ
光路星途,0.267802,succ
光速领跑者,0.226192,succ
逛荡,0.230176,succ
归来的宗师,0.21811,succ
硅谷大帝,0.226437,succ
贵圈真乱,0.205126,succ
国宝级艺术家,0.210205,succ
国际供应商,0.171782,succ
国际制造商,0.27192,succ
国家执法者,0.104169,unsucc
国民男神,0.212664,succ
国医,0.203926,succ
海岛农场主,0.300827,succ
韩警官,0.240098,succ
韩娱王,0.22928,succ
韩娱渣男,0.207085,succ
韩娱之2015,0.242202,succ
韩娱之策划者,0.180721,succ
韩娱之单身爸爸,0.18608,succ
韩娱之光影交错,0.22161,succ
韩娱之厚黑,0.099341,unsucc
韩娱之临时工,0.222706,succ
韩娱之另类大明星,0.215635,succ
韩娱之梦,0.191365,succ
韩娱之秘密讯息,0.195597,succ
韩娱之名侦探,0.237726,succ
韩娱之任务系统,0.222826,succ
韩娱之天王,0.198061,succ
韩娱之心里的声音,0.261925,succ
韩娱之幸福小雨伞,0.24933,succ
韩娱之演技大师,0.294912,succ
韩娱之影帝,0.19799,succ
韩娱之宅男艺人,0.240038,succ
韩娱之制作人传奇,0.223396,succ
航空梦,0.211341,succ
好莱坞暴君,0.230945,succ
好莱坞之路,0.20153,succ
好莱坞制作,0.256491,succ
合同情人,0.186863,succ
何处是岸,0.097081,unsucc
黑店,0.165257,succ
黑金大亨,0.289973,succ
黑卡,0.207838,succ
很纯很暧昧,0.227366,succ
很纯很暧昧前传,0.101809,succ
红房子,0.004948,unsucc
红色大导演,0.192476,succ
护身保镖,0.092981,unsucc
花都酒剑仙,0.238731,succ
花都神医阎王爷,0.076249,unsucc
花都兽医,0.207999,succ
华夏神医,0.203286,succ
华娱,0.174592,succ
华娱宗师,0.206122,succ
环保大师,0.254518,succ
幻视颠峰,0.2298,succ
宦海无涯,0.205376,succ
换脸重生,0.241393,succ
荒野直播之求生大师,0.255621,succ
黄金遁,0.197408,succ
黄金耳,0.303673,succ
黄金牧场,0.243067,succ
黄金瞳,0.227062,succ
黄金渔场,0.253025,succ
回档重来,0.11694,unsucc
回到85年,0.201768,succ
回到过去变成猫,0.195068,succ
回到过去当女神,0.255746,succ
回到过去当作家,0.25317,succ
悔泪,0.134332,unsucc
会穿越的国王,0.174813,succ
会流浪的一棵树,0.123304,unsucc
混世矿工,0.232342,succ
混在济南,0.198835,succ
混在美国当土豪,0.26263,succ
混在娱乐圈的日子,0.226817,succ
霍韦和严若儿,0.102604,unsucc
极品草根太子,0.236928,succ
极品超能高手,0.091639,unsucc
极品纯情高手,0.145997,unsucc
极品电脑,0.228536,succ
极品风水收藏家,0.182409,succ
极品老婆,0.210798,succ
极品乡村生活,0.373115,succ
极品小农场,0.221396,succ
极品修真强少,0.191195,succ
极品养生馆,0.124318,unsucc
极品医圣,0.203809,succ
极品阴阳师,0.194273,succ
极品直播之传奇归来,0.185352,succ
几何迷阵,0.134652,unsucc
贾似道的古玩人生,0.216755,succ
奸诈人生,0.246212,succ
拣宝,0.251669,succ
捡宝,0.234136,succ
捡宝生涯,0.193077,succ
捡宝王,0.237591,succ
捡来的总工程师,0.103587,unsucc
捡漏,0.248201,succ
剑道真解,0.237367,succ
鉴宝大师,0.237382,succ
鉴宝人生,0.242141,succ
鉴宝天书,0.170831,succ
今天开始画漫画,0.212821,succ
金牌主持,0.212275,succ
金品典当师,0.331421,succ
京都的故事,0.215802,succ
京都文豪,0.231448,succ
惊门,0.213497,succ
惊艳人生,0.31882,succ
警备区,0.19515,succ
警察的爱情之幸福,0.105761,unsucc
警犬实习日记,0.227066,succ
警神,0.236158,succ
究极系统,0.230039,succ
九阶骇客,0.207124,succ
九天杀手,0.126869,unsucc
九项全能,0.345552,succ
九针神医,0.264737,succ
酒神庄园,0.20228,succ
旧书大亨,0.218887,succ
就干这行了,0.118621,unsucc
就问你气不气,0.217804,succ
巨星,0.246964,succ
巨星从来没有文艺的,0.20426,succ
巨星从业者,0.185837,succ
巨星家族,0.270915,succ
绝版之荣耀系统,0.102432,unsucc
绝美总裁的特种狂兵,0.130903,unsucc
绝品全能学神,0.12412,unsucc
绝品天医,0.197601,succ
绝色悍妻,0.311708,succ
绝世处男,0.191924,succ
绝世大明星,0.198321,succ
绝世杀医，暗夜少主,0.118717,unsucc
崛起美利坚,0.239135,succ
看，我发现了什么,0.099835,unsucc
科技大明星,0.262183,succ
科技衍生,0.25111,succ
科技与少年,0.122133,unsucc
空速星痕,0.196522,succ
孔雀蓝的守护,0.056177,unsucc
控电少年,0.20587,succ
酷仙,0.124982,unsucc
酷炫人生,0.211783,succ
快穿之男人的眼泪,0.100536,unsucc
狂霸小农民,0.121937,unsucc
