小说名,标准化类符/形符比,类别
医圣,0.183172,succ
医师,0.227286,succ
医师1879,0.208446,succ
医者阿D,0.098039,unsucc
艺术人生,0.172552,succ
异变都市之魔王,0.153262,unsucc
异能逍遥神医,0.196102,succ
异种幻想录,0.10328,unsucc
阴阳超市,0.214907,succ
隐杀,0.271977,succ
隐身侍卫,0.186003,succ
英雄联盟之从小兵开始,0.241144,succ
影帝之路,0.209801,succ
庸人还真,0.253862,succ
悠然农庄,0.318502,succ
游戏开拓者,0.229848,succ
游戏人间,0.108834,unsucc
游戏王朝,0.21929,succ
有妇之夫,0.197688,succ
诱惑,0.244003,succ
娱乐边缘人,0.107158,unsucc
娱乐大痞子,0.20373,succ
娱乐大顽家,0.181373,succ
娱乐点金手,0.21419,succ
娱乐怪才,0.241592,succ
娱乐就在身边,0.223848,succ
娱乐巨咖,0.114485,unsucc
娱乐圈外挂光环,0.18543,succ
娱乐圈之球王的逆袭,0.209141,succ
娱乐圈之一代宗师,0.222404,succ
娱乐圈最强霸主,0.18403,succ
娱乐世纪,0.189207,succ
娱乐星工场,0.265769,succ
娱乐在身边,0.155002,succ
娱乐之大亨,0.178676,succ
娱乐之逆袭,0.240484,succ
娱乐之王,0.224493,succ
娱乐宗师,0.205419,succ
宇宙无敌土豪系统,0.10754,unsucc
羽皇,0.224647,succ
雨平行的世界,0.139098,unsucc
欲海医心,0.18515,succ
欲望星海,0.243482,succ
御用鼠标,0.242157,succ
元气少年,0.246825,succ
源世界之天衍,0.179004,succ
远去的三十年,0.118078,unsucc
云巅牧场,0.23252,succ
杂牌救世主,0.238571,succ
再生传奇之病毒奇缘,0.194786,succ
在美利坚的田园生活,0.188619,succ
在日本渔村的日子,0.206335,succ
贼警,0.2376,succ
宅男之游戏人生,0.218325,succ
宅师,0.232349,succ
宅之崛起,0.242961,succ
战穹,0.238161,succ
战医归来,0.234744,succ
长生两千年,0.274054,succ
找到个宝藏,0.222962,succ
召唤我吧,0.184024,succ
这个食神来自地球,0.244056,succ
这是个神奇的系统,0.116214,unsucc
真人秀西游直播间,0.098244,unsucc
镇妖册,0.209554,succ
职场精英养成记,0.112878,unsucc
纸神,0.248075,succ
指间的黑客,0.207226,succ
至尊红包,0.241287,succ
至尊天骄,0.243571,succ
至尊医道,0.230191,succ
至尊主播,0.250235,succ
智能工业帝国,0.171171,succ
中医扬名,0.24536,succ
中娱大明星,0.106197,unsucc
终极盆栽,0.196509,succ
终极一班之冥风,0.15075,unsucc
众神之契约,0.101685,unsucc
重返人生,0.22709,succ
重活,0.137062,succ
重活1993,0.213813,succ
重活了,0.267156,succ
重活一次,0.265303,succ
重活之漫漫人生路,0.221615,succ
重活之逍遥大明星,0.288305,succ
重活之圆梦人生,0.241879,succ
重来,0.196633,succ
重谱人生,0.251321,succ
重启高一,0.261956,succ
重任,0.237062,succ
重生1976,0.206024,succ
重生2003,0.205845,succ
重生传说,0.281027,succ
重生大玩家,0.201198,succ
重生动漫之父,0.205486,succ
重生法医,0.224668,succ
重生工业帝国,0.177886,succ
重生功夫巨星,0.189448,succ
重生古女现代史,0.121818,unsucc
重生过去当神厨,0.18876,succ
重生绝者之路,0.179746,succ
重生科技大亨,0.103375,unsucc
重生科技狂人,0.283811,succ
重生漫画之神,0.190376,succ
重生女学霸,0.354592,succ
重生平淡人生,0.255527,succ
重生潜入梦,0.255922,succ
重生日本当厨神,0.280449,succ
重生日本当神明,0.246064,succ
重生世家子,0.215714,succ
重生天王系统,0.123885,unsucc
重生完美女神,0.197216,succ
重生我的时代,0.233364,succ
重生乡村霸主,0.198685,succ
重生小说反派公子哥,0.277584,succ
重生巡礼之年,0.120216,unsucc
重生音乐传奇,0.209905,succ
重生在70年代,0.203695,succ
重生宅神,0.210633,succ
重生之2006,0.33202,succ
重生之八零年代,0.252713,succ
重生之白猫王子,0.230596,succ
重生之变强变帅变聪明,0.242696,succ
重生之财源滚滚,0.184263,succ
重生之超级大地主,0.270028,succ
重生之超级大神豪,0.118421,unsucc
重生之超级公子,0.207453,succ
重生之超级消防员,0.115291,unsucc
重生之炒房王,0.226167,succ
重生之大设计师,0.206181,succ
重生之大天王,0.218794,succ
重生之大文豪,0.215338,succ
重生之沸腾青春,0.184925,succ
重生之改造人生,0.183359,unsucc
重生之歌神,0.258175,succ
重生之歌坛传奇,0.234854,succ
重生之工业大亨,0.267185,succ
重生之光辉人生,0.187185,succ
重生之华夏文圣,0.250617,succ
重生之华娱巅峰,0.209804,succ
重生之混在美国娱乐圈,0.202441,succ
重生之极品收藏家,0.249285,succ
重生之剑神奶爸,0.143555,unsucc
重生之金融大亨,0.264425,succ
重生之经济帝国,0.203384,succ
重生之警界传说,0.245914,succ
重生之绝世天骄,0.222539,succ
重生之科技崛起,0.242424,succ
重生之抠脚大汉变男神,0.236014,succ
重生之梦,0.22774,succ
重生之平凡与改变,0.102884,unsucc
重生之平行线,0.196124,succ
重生之日本大作家,0.20461,succ
重生之商霸两界,0.295873,succ
重生之商途,0.202076,succ
重生之神级败家子,0.182025,succ
重生之神级明星,0.273157,succ
重生之神级学霸,0.20035,succ
重生之世家子弟,0.230468,succ
重生之数字生命,0.230701,succ
重生之四代,0.15351,unsucc
重生之玩物人生,0.258175,succ
重生之网络娱乐,0.189788,succ
重生之文豪巨星,0.247327,succ
重生之文化帝国,0.233134,succ
重生之文娱全球,0.233919,succ
重生之我为书狂,0.165847,succ
重生之无敌炼心,0.109735,unsucc
重生之无限精彩,0.251939,succ
重生之小说巨匠,0.247979,succ
重生之笑看风云起,0.220425,succ
重生之叶峰传奇,0.064176,unsucc
重生之以抄成圣,0.114112,unsucc
重生之异能高手,0.101991,unsucc
重生之游戏教父,0.248733,succ
重生之娱乐风暴,0.219639,succ
重生之娱乐鬼才,0.266661,succ
重生之娱乐星光,0.199892,succ
重生之再世为仙,0.230079,succ
重生之壮志凌云,0.214702,succ
重生之最强妖孽,0.108116,unsucc
重生铸梦,0.244436,succ
重生最强农民,0.251237,succ
重走枭雄路,0.259632,succ
重组魂魄,0.132861,unsucc
诸神神迹,0.089343,unsucc
铸梦2005,0.224289,succ
追美攻略,0.268889,succ
追凶韩国,0.19281,succ
紫龙风暴,0.164956,succ
自然控制者,0.120544,unsucc
恣意人生,0.19596,succ
宗师巨星,0.238814,succ
纵横商界之九五至尊,0.178896,succ
最佳导演,0.206491,succ
最佳影星,0.19791,succ
最轮回,0.243874,succ
最牛古董商,0.210768,succ
最牛职业王,0.113507,unsucc
最强厨霸,0.224225,succ
最强打脸直播系统,0.110298,unsucc
最强黑客,0.178523,succ
最强农二代,0.107655,unsucc
最强全能保镖,0.124489,unsucc
最强网络神豪,0.227429,succ
最强乡村高手,0.129098,unsucc
最强小学班级,0.107002,unsucc
最强修仙妖孽,0.128334,unsucc
最强修仙之征召猛将,0.192078,succ
最强妖师,0.189585,succ
最强之无名系统,0.121038,unsucc
最强职业认证系统,0.131859,unsucc
最校长,0.175432,succ
最长的一梦,0.222024,succ
最终原形,0.228325,succ
左道旁门,0.173005,succ
