小说名,标准化类符/形符比,类别
龙珠之武天宗师,0.258631,succ
龙珠之有罪,0.254354,succ
龙珠之最强神话,0.226799,succ
乱入之动漫世界,0.072967,unsucc
轮回之悲雪,0.170031,unsucc
洛神，洛河，洛天依,0.194972,unsucc
妹妹与轻小说,0.109679,unsucc
萌剑士战记,0.084204,unsucc
梦幻世界里的唯一玩家,0.110792,unsucc
梦幻西游之黑衣刺客,0.256239,succ
梦幻西游之斩相思,0.106639,unsucc
妙木山的塔姆仙人,0.153876,succ
名侦探柯南之暗夜骑士,0.082023,unsucc
名侦探柯南之混吃等死,0.163788,succ
命运夜的悲鸣,0.140889,unsucc
魔女大人饶命啦,0.095769,unsucc
某不知名的位面旅行系统,0.133544,unsucc
某科学的火影忍者,0.246222,succ
某科学的纳米操控,0.125034,unsucc
某漫威的铠甲勇士,0.110952,unsucc
某御坂妹的综漫之旅,0.227254,succ
木叶之实力至上,0.259954,succ
那年一笑倾城,0.183673,unsucc
奈叶同人骑士记,0.20779,succ
诺梦奥特曼之希望传说,0.106753,unsucc
女神光耀美利坚,0.249396,succ
女英雄的隐身侍卫,0.115936,unsucc
女装大佬,0.221559,succ
女装文艺人生,0.269794,succ
盘龙之风行,0.205354,succ
盘龙之圆满超脱,0.215242,succ
叛逆的鲁鲁修之最强杂兵,0.270838,succ
霹雳之妖道逆袭,0.225988,succ
浦山实与光的日记,0.369844,succ
七曜下的奇迹,0.211393,succ
奇葩的鬼剑士,0.11323,unsucc
前世我是大贤者,0.119932,unsucc
秦时明月之公子问情,0.095484,unsucc
驱魔师的美食之旅,0.111188,unsucc
去到异界当勇者,0.123499,unsucc
拳皇之苍炎之殇,0.230712,succ
拳皇之冲破宿命,0.228915,succ
人非人转身,0.116955,unsucc
人生回溯局,0.176977,succ
忍者生涯,0.240116,succ
荣耀美食世界,0.127641,unsucc
赛尔号精灵养成系统,0.116201,unsucc
闪电侠之闪电骑士,0.236662,succ
神盾局的新晋职员,0.237722,succ
神级剑魂系统,0.182807,succ
神奇宝贝之ZERO,0.097874,unsucc
神奇宝贝之王者之境,0.108992,unsucc
生化危机的武术家,0.154646,unsucc
圣斗士冥王神话圣战前夜,0.096886,unsucc
圣斗士之邪恶射手,0.252229,succ
圣斗士之永恒结界,0.124281,unsucc
尸体派对之铃本茧拯救计划,0.090903,unsucc
食戟之冒牌小当家,0.260934,succ
食戟之最强美食系统,0.223779,succ
