@relation pima_diabetes
@attribute 'TTR' numeric
@attribute 'class' { unsucc, succ}
@data
0.132376,unsucc
0.243726,succ
0.211264,succ
0.166082,unsucc
0.127274,unsucc
0.114608,unsucc
0.257789,succ
0.182794,succ
0.252897,succ
0.212646,succ
0.21881,succ
0.262653,succ
0.238699,succ
0.227829,succ
0.240818,succ
0.252594,succ
0.241247,succ
0.246029,succ
0.262897,succ
0.268028,succ
0.234501,succ
0.253391,succ
0.226476,succ
0.257395,succ
0.404159,succ
0.227481,succ
0.193499,succ
0.194588,succ
0.238414,succ
0.254625,succ
0.35266,succ
0.234508,succ
0.205494,succ
0.175335,succ
0.273176,succ
0.140506,unsucc
0.239877,succ
0.213547,succ
0.263314,succ
0.251215,succ
0.140744,unsucc
0.189365,succ
0.272244,succ
0.283542,succ
0.223946,succ
0.256901,succ
0.247511,succ
0.464475,succ
0.205078,succ
0.188231,succ
0.12537,unsucc
0.291545,succ
0.245377,succ
0.163275,succ
0.279482,succ
0.241113,succ
0.213308,succ
0.206628,succ
0.264786,succ
0.105432,unsucc
0.311142,succ
0.126212,unsucc
0.226691,succ
0.248156,succ
0.266386,succ
0.219886,succ
0.321073,succ
0.234612,succ
0.114034,unsucc
0.29453,succ
0.228513,succ
0.194545,succ
0.196873,succ
0.105659,unsucc
0.079413,unsucc
0.205705,succ
0.268275,succ
0.264579,succ
0.2228,succ
0.212191,succ
0.232072,succ
0.233494,succ
0.272135,succ
0.264571,succ
0.152934,unsucc
0.129623,unsucc
0.189469,succ
0.266924,succ
0.22318,succ
0.276205,succ
0.238442,succ
0.233419,succ
0.14581,unsucc
0.203171,succ
0.219132,succ
0.130276,unsucc
0.244677,succ
0.043754,unsucc
0.300437,succ
0.234822,succ
0.279545,succ
0.271018,succ
0.221509,succ
0.206283,succ
0.245349,succ
0.232357,succ
0.25823,succ
0.21489,succ
0.19232,succ
0.31736,succ
0.252762,succ
0.259962,succ
0.249557,succ
0.247047,succ
0.260535,succ
0.202791,succ
0.134197,succ
0.291754,succ
0.268551,succ
0.23913,succ
0.276005,succ
0.151141,unsucc
0.115833,unsucc
0.101655,unsucc
0.104852,unsucc
0.202692,succ
0.189359,succ
0.279357,succ
0.126553,unsucc
0.27043,succ
0.243679,succ
0.247027,succ
0.206614,succ
0.216261,succ
0.221671,succ
0.200971,succ
0.301661,succ
0.262036,succ
0.249068,succ
0.260316,succ
0.097831,unsucc
0.292137,succ
0.166169,succ
0.232935,succ
0.226905,succ
0.278785,succ
0.227659,succ
0.240774,succ
0.30942,succ
0.235364,succ
0.218223,succ
0.240683,succ
0.135728,unsucc
0.206294,succ
0.120296,unsucc
0.254631,succ
0.132235,unsucc
0.138508,unsucc
0.280029,succ
0.199877,succ
0.245167,succ
0.261476,succ
0.20886,succ
0.117049,unsucc
0.252592,succ
0.246031,succ
0.220214,succ
0.124231,unsucc
0.225303,succ
0.232201,succ
0.243694,succ
0.245688,succ
0.277637,succ
0.074218,unsucc
0.24631,succ
0.230777,succ
0.189083,succ
0.23951,succ
0.206819,succ
0.268046,succ
0.082907,unsucc
0.204597,succ
0.189815,succ
0.276498,succ
0.111105,succ
0.261623,succ
0.274503,succ
