@relation pima_diabetes
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute 'class' { unsucc, succ}
@data
0.065667,0.053268,0.050819,0.033063,0.035665,0.025256,0.03291,0.029695,0.026328,0.018215,0.025716,0.020511,0.019746,0.017756,0.017756,0.01148,0.008266,0.010256,succ
0.055015,0.047839,0.043397,0.041346,0.026995,0.026482,0.020844,0.021527,0.02597,0.024944,0.016573,0.016914,0.017256,0.018452,0.01811,0.015377,0.008201,0.011447,succ
0.072084,0.068501,0.064058,0.03769,0.021496,0.024506,0.016194,0.020063,0.027945,0.027228,0.01734,0.013471,0.015334,0.012898,0.014331,0.014331,0.012611,0.018917,succ
0.073368,0.056233,0.058646,0.035236,0.025341,0.029685,0.021359,0.021117,0.026548,0.021117,0.019549,0.016411,0.017256,0.013394,0.015808,0.012188,0.004827,0.01436,unsucc
0.061048,0.050667,0.050049,0.04214,0.024345,0.022121,0.018908,0.022739,0.029906,0.022862,0.022244,0.012852,0.012729,0.016065,0.012358,0.012605,0.015571,0.015324,succ
0.054119,0.053574,0.045865,0.030291,0.027332,0.03325,0.019234,0.01573,0.023283,0.019312,0.014639,0.013783,0.015574,0.014406,0.010902,0.010279,0.021803,0.011603,succ
0.052579,0.042824,0.032573,0.032077,0.027778,0.017196,0.022156,0.032738,0.021495,0.0167,0.027447,0.015377,0.015377,0.01703,0.020503,0.015212,0.004795,0.011574,succ
0.066744,0.049884,0.050814,0.042907,0.025,0.027791,0.019651,0.018605,0.027791,0.023372,0.015581,0.015465,0.017558,0.015698,0.014884,0.011395,0.009651,0.013837,succ
0.052397,0.046023,0.043076,0.032521,0.032213,0.022309,0.029917,0.030876,0.023063,0.017443,0.025428,0.018814,0.016415,0.018471,0.016346,0.01405,0.00658,0.009184,unsucc
0.051577,0.045551,0.038639,0.033322,0.032613,0.02765,0.026586,0.026409,0.024105,0.021978,0.022864,0.019142,0.017547,0.01737,0.018965,0.014711,0.006026,0.010812,succ
0.062949,0.062705,0.061001,0.027274,0.031414,0.03531,0.029831,0.012906,0.019603,0.014976,0.009862,0.024352,0.024352,0.012541,0.013515,0.013637,0.003775,0.007793,succ
0.055095,0.052725,0.052577,0.026807,0.030065,0.030658,0.023252,0.022808,0.019698,0.018217,0.023845,0.017921,0.019698,0.013477,0.013329,0.013626,0.007553,0.009479,succ
0.096789,0.053211,0.058716,0.028899,0.02844,0.027982,0.026147,0.026147,0.024312,0.013761,0.024771,0.01422,0.011009,0.009633,0.018807,0.010092,0.013303,0.007339,unsucc
0.000122,0.000122,0.000122,0.000122,0.000122,0.026974,0.000122,0.000122,0.000122,0.020535,0.000122,0.019927,0.018834,0.01531,0.015188,0.000122,0.000122,0.014095,succ
0.066313,0.060584,0.055571,0.02664,0.029791,0.035233,0.023919,0.000143,0.019335,0.018476,0.000143,0.016757,0.015325,0.012317,0.008307,0.013606,0.005729,0.015468,succ
0.056663,0.056854,0.051951,0.031706,0.029541,0.035462,0.021583,0.020946,0.020055,0.023365,0.018909,0.017699,0.020755,0.015025,0.014388,0.011969,0.008722,0.012733,succ
0.056384,0.051739,0.050767,0.031756,0.031756,0.027652,0.026788,0.028624,0.019011,0.019011,0.02614,0.017606,0.018687,0.016526,0.013718,0.015446,0.008425,0.012422,succ
0.053741,0.049108,0.045634,0.033588,0.028029,0.039379,0.024322,0.021311,0.01969,0.018531,0.022701,0.023396,0.023628,0.012277,0.015752,0.014825,0.004401,0.010887,succ
0.045318,0.052611,0.050658,0.031905,0.037635,0.030342,0.026436,0.020445,0.020185,0.021227,0.019534,0.020445,0.023441,0.019794,0.019143,0.012632,0.002865,0.01159,unsucc
0.057002,0.057572,0.057572,0.024321,0.029261,0.042941,0.028311,0.023371,0.019191,0.017101,0.023181,0.029451,0.021281,0.01577,0.0152,0.01178,0.00437,0.01216,succ
0.053642,0.048844,0.051304,0.031496,0.027682,0.03002,0.023253,0.0219,0.022269,0.021407,0.021777,0.022638,0.020792,0.01747,0.018701,0.015502,0.005167,0.013164,succ
0.059987,0.046512,0.052163,0.041078,0.026081,0.020648,0.025429,0.021952,0.028037,0.021082,0.022604,0.017388,0.014562,0.016083,0.017388,0.011737,0.011954,0.012171,succ
0.055413,0.047525,0.053244,0.045948,0.029186,0.025044,0.024058,0.024847,0.02327,0.03313,0.019523,0.016368,0.016762,0.017551,0.017156,0.013804,0.00631,0.012621,succ
0.063382,0.045273,0.04911,0.036679,0.031154,0.030233,0.027471,0.031001,0.024555,0.020565,0.025629,0.018723,0.016114,0.017342,0.015347,0.010589,0.011203,0.010129,succ
0.054069,0.052088,0.049398,0.026185,0.033263,0.033404,0.028733,0.018684,0.017268,0.019391,0.017127,0.021656,0.021231,0.015853,0.014437,0.014296,0.008776,0.010474,succ
0.059986,0.061338,0.059311,0.037344,0.029233,0.039371,0.019601,0.024333,0.025515,0.020953,0.020784,0.015715,0.015208,0.017236,0.009125,0.009294,0.014532,0.016391,succ
0.05655,0.05262,0.04869,0.029803,0.032096,0.028166,0.028384,0.021725,0.020524,0.022271,0.018777,0.020524,0.018341,0.016594,0.016812,0.013428,0.008188,0.013428,succ
0.046054,0.061473,0.059241,0.023534,0.02678,0.050112,0.024751,0.016636,0.012376,0.020694,0.011361,0.025766,0.031649,0.011564,0.01623,0.015622,0.006086,0.009941,succ
0.063309,0.048991,0.050371,0.036398,0.027255,0.0207,0.027255,0.026393,0.026048,0.023978,0.025875,0.017595,0.013628,0.016388,0.017595,0.015353,0.012593,0.011903,succ
0.065623,0.056562,0.057727,0.036371,0.037536,0.035594,0.030417,0.012943,0.026016,0.02511,0.016179,0.017732,0.018379,0.015661,0.016309,0.014367,0.008154,0.016309,succ
0.065665,0.072727,0.067919,0.032307,0.016679,0.041923,0.014726,0.019534,0.029902,0.026747,0.01728,0.012622,0.010368,0.009617,0.008415,0.014576,0.004658,0.020586,succ
0.053639,0.051544,0.040089,0.036737,0.034362,0.025842,0.025003,0.00014,0.025981,0.020534,0.00014,0.015365,0.014527,0.015086,0.012851,0.016203,0.009079,0.00894,succ
0.062434,0.054531,0.050711,0.034247,0.035037,0.026475,0.028846,0.03069,0.023709,0.020021,0.024499,0.016596,0.015938,0.015411,0.014752,0.014226,0.011328,0.011591,succ
0.076413,0.055874,0.057405,0.036739,0.027172,0.031764,0.021049,0.0236,0.022197,0.023728,0.021814,0.016839,0.017349,0.013139,0.011481,0.018625,0.007271,0.013139,succ
0.056213,0.057147,0.05668,0.028807,0.026316,0.035503,0.021021,0.018063,0.01962,0.02071,0.018374,0.017907,0.016194,0.015571,0.014481,0.015727,0.008409,0.014637,succ
0.060666,0.067015,0.059819,0.019752,0.022997,0.07294,0.017777,0.011146,0.021727,0.014673,0.011851,0.013121,0.017212,0.007901,0.008606,0.030756,0.001834,0.012274,succ
0.056586,0.043581,0.044964,0.032374,0.0285,0.025318,0.026287,0.023243,0.021444,0.019369,0.017847,0.017709,0.018124,0.018262,0.017986,0.011345,0.013697,0.009685,succ
0.063329,0.056921,0.049471,0.037699,0.026822,0.029504,0.025928,0.024288,0.027865,0.025034,0.018179,0.014603,0.016242,0.014603,0.017881,0.011623,0.01058,0.014454,succ
0.056622,0.042602,0.040697,0.03253,0.031305,0.026405,0.023411,0.027494,0.022322,0.022186,0.023683,0.01293,0.018239,0.014155,0.017694,0.014019,0.009936,0.010344,succ
